"GREAT MASSINGHAM",,,,,,,,,,,,
Grid ref,TF797234,Long,0.662788,Lat,52.778271,,,,,,,
Station no,1425/1,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,5.02,1.47,1.47,1.19,,
February,,,,,,,2.67,1.70,2.07,0.65,,
March,,,,,,,2.28,1.56,2.51,3.24,,
April,,,,,,,1.01,3.39,3.55,1.40,,
May,,,,,,,1.95,3.18,1.87,1.33,,
June,,,,,,,3.21,2.42,0.93,3.94,,
July,,,,,,,0.52,2.26,3.82,4.57,,
August,,,,,,,1.59,1.81,2.76,2.89,,
September,,,,,,,1.23,0.76,2.32,2.29,,
October,,,,,,,4.83,2.78,1.33,4.24,,
November,,,,,,,4.22,3.11,1.47,1.16,,
December,,,,,,,2.66,3.04,1.68,4.89,,
Total,,,,,,,31.19,27.48,25.78,31.79,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,31.19,27.48,25.78,31.79,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,,
