SHALBOURNE (THE MANOR),,,,,,,,,,
Grid ref,SU314629,Long,-1.550371,Lat,51.364303,Elevation,439,ft,,
Station no,RR4551,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,4.67,0.62,,,,,
February,,,,0.8,4.03,,,,,
March,,,3.05,3.34,4.62,,,,,
April,,,0.06,3.36,1.13,,,,,
May,,,1.01,2.61,2.06,,,,,
June,,,3.68,0.64,1.44,,,,,
July,,,1.81,2.18,2.33,,,,,
August,,,6.11,1.01,3.22,,,,,
September,,,2.14,3.66,0.78,,,,,
October,,,4.01,4.18,3.4,,,,,
November,,,2.33,3.03,4.09,,,,,
December,,,4.46,1.58,7.73,,,,,
Total,,,,31.06,35.45,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1912 Mar Gauge moved,,,,,,,,,,
,,,,,,,,,,
Elevation adjusted from OS map,,,,,,,,,,
