"SHALBOURNE WEST COURT",,,,,,,,,,,,
Grid ref,SU313626,Long,-1.551834,Lat,51.361611,,,,,,,
Station no,RR4551,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.71,1.67,1.03,3.32,5.27,0.73,5.52,0.58,1.98,0.88,,
February,5.93,1.78,1.52,1.75,4.40,0.79,2.94,1.60,1.38,0.62,,
March,1.30,2.29,2.31,4.56,1.73,5.26,1.65,1.18,3.80,4.46,,
April,1.62,2.41,1.63,3.04,1.34,2.34,1.01,3.73,3.32,1.95,,
May,1.61,1.32,2.50,4.55,3.37,0.65,1.77,2.03,2.14,1.27,,
June,2.21,1.88,3.78,5.44,1.08,4.24,3.38,2.30,0.67,2.97,,
July,1.24,1.98,1.40,3.17,2.14,0.97,0.53,3.97,1.94,2.51,,
August,3.24,2.30,3.84,4.01,2.98,3.38,1.21,1.78,4.15,3.19,,
September,0.70,2.75,1.01,2.53,1.71,1.45,0.79,0.69,2.54,3.23,,
October,2.56,1.64,1.92,8.83,1.50,1.91,6.10,6.89,1.25,5.27,,
November,3.42,0.91,4.30,2.16,1.68,4.08,4.45,3.00,1.26,0.54,,
December,5.24,6.63,1.91,2.93,2.82,1.16,2.60,4.62,3.04,4.92,,
Total,32.78,27.56,27.15,46.29,30.02,26.96,31.95,32.37,27.47,31.81,,
Calc annual,32.78,27.56,27.15,46.29,30.02,26.96,31.95,32.37,27.47,31.81,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
