"MULL, KNOCK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM543389,Long,-5.99164,Lat,56.477926,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,8.7,5.59,7.99,8.56,9.07,13.19,15.19,,10.3,10.82,7.53,8.93,14.28,6.83,9.25,11.48,3.71,8.77,9.61,11.46,13.33,15.23,12.37,10.02,8.02,12.91,15.83,18.25,2.38,18.61
February,,4.83,2.37,14.16,10.59,4.4,10.44,10.25,14.77,8.32,11.91,10.6,5.8,6.25,14.14,12.29,11.59,1.31,16.4,1.61,12.1,4.67,15.07,7.34,4.55,6.32,7.54,7.57,6.35,3.12,0.63
March,,2.89,6.97,21.81,7.2,12.57,13.81,14.64,8.93,1.7,5.78,2.58,8.77,14.54,7.92,5.51,1.5,3.29,3.19,7.61,8.57,11.76,3.8,4.94,0.88,-999,7.06,6.33,9.5,1.84,6.78
April,,2.36,2.25,5.07,10.1,8.41,6.8,13.62,,6.88,4.53,7.21,3.71,8.72,5.46,7.25,4.54,3.22,2.32,6.27,2.29,5.75,3.47,4.81,5.51,-999,4.17,7.51,7.24,3.12,2.87
May,,2.55,3.12,1.47,5.15,5.21,7.15,24.17,5.47,5.45,6.14,7.12,3.06,5.06,2.19,1.02,6.11,4.83,4.25,2.2,9.59,4.75,8.84,2.97,5.02,8.94,4.33,4.24,0.91,6.99,3.88
June,,5.62,2.61,4.31,6.54,1.74,3.43,33.27,5.1,2.36,1.93,4.24,6.47,5.46,3.4,1.68,1.75,3.52,3.81,8.06,5.16,3.22,4.87,5.34,4.77,2.68,4.73,5.81,6.37,5.11,5.63
July,,1.86,5.64,18.45,7.58,9.45,3.04,23.1,7.92,7.27,4.27,6.42,7.59,0.91,3.53,5.04,3.52,1.51,6.45,2.49,6.12,6.69,5.6,6.58,5.82,2.98,5.7,3.43,6.2,6.56,2.54
August,,2.45,5.04,16.48,6.1,10.39,9.64,38.6,7,5.49,8.63,5.89,3.18,2.38,6.62,4.05,5.72,6.08,7.23,5.99,4.96,4.64,6.29,10.17,7.13,5.18,7.28,3.53,6.58,9.07,10.06
September,,8.49,6.24,8.16,8.56,3.93,3.91,8.34,6.37,3.88,3.39,9.41,5.16,3.63,4.71,2.4,3.37,5.63,11.33,8.48,7.46,4.99,3.39,11.59,8.49,5.68,5.53,5.95,6.76,4.94,4.33
October,,5.8,5.13,19.58,13.02,11,9.83,18.98,4.07,15.79,5.86,7.04,9.25,9.35,5.3,4.62,11.14,17.67,14.54,5.09,7.15,9.62,4.81,14.92,6.45,5.9,8.03,8.07,12.77,12.44,14.55
November,,7.4,7.59,10.22,17.66,14.83,17.82,28.62,8.45,6.96,5.99,11.99,9.25,10.09,9.44,4.34,11.75,13.71,13.38,7.04,9.88,6.39,8.39,7.77,6.73,3.55,11.66,8.77,12.41,11.42,11.18
December,,11.38,12.32,12.08,11.11,10.31,15.9,14.4,13.8,10.9,8.32,18.38,22.85,6.78,17.58,12.14,8.14,4.78,13.89,16.29,10.05,11.52,11.7,12.87,15.35,7.44,9.4,1.14,12.92,18.62,11.5
Total,,64.33,64.87,139.78,112.17,101.31,114.96,243.18,,85.3,77.57,98.41,94.02,87.45,87.12,69.59,80.61,69.26,105.56,80.74,94.79,87.33,91.46,101.67,80.72,71.54,88.34,78.18,106.26,85.61,92.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925 March April bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898-1900 Deleted Totals only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 0n Blank sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
