GLASTONBURY HINDHAYES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST484364,Long,-2.7382,Lat,51.1253,Elevation,78,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2002/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,0.98,0.86,1.16,3.67,0.78,4.16,4.57,0.92,3.25,1.19,0.73,3.34,4.21,3.6,3.13,3.52,1.45,3.74,2.24,3.46,3.16,4.07,1.2,3.7,1.75,2.11,2.09,2.1,0.64,3.71,4.37,2.64,5,2.09,3.03,3.04,4.96,1.71,2.1,1.7,2.19,4.77,0.58,0.39,2.66,2.8,0.7,1.89,2.9,2.94,,1.9,2.78,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,1.38,1.14,0.46,3.73,1.91,2.2,0.67,2.56,4.27,4.9,1.13,0.99,2.87,0.94,0.23,2.61,5.98,0.35,3.53,1.72,3.29,2.3,0.9,0.6,1.87,0,4.09,0.2,2.45,1.89,4.59,0.74,1.23,1.99,2.79,0.44,0.9,0.8,1.39,1.65,1.05,0.98,1.03,4.84,3.37,0.95,1.37,2.4,1.65,0.06,,2.85,0.25,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,0.56,2.83,2.85,0.61,2.03,4.6,2.98,5.17,0.9,2.9,2.93,1,4.48,2.05,1.59,2.55,1.53,1.04,0.53,0.97,3.55,2.59,0.2,1.7,0.84,1.82,2.41,2,1.01,2.96,3.86,0.18,1.23,2,2.78,1.29,0.8,0.14,0.62,0.76,5.3,0.97,1.36,0.93,2.57,2.49,0.73,3.49,1.01,0.56,,0.81,3.4,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,4.28,2.12,2.63,2.62,2.08,0.21,2.66,1.27,0.97,1.2,1.87,1.95,2.16,3.62,0.86,1.98,1.78,2.46,2.37,2.5,1.5,1.3,0.7,2.9,1.98,2.22,1.37,2.22,4.19,2.65,1.83,0.06,2.6,2.55,2.06,0.79,0.85,1.68,0.55,2.37,1.96,1.7,1.59,2.42,3.24,1.7,2.65,0.26,1.1,1.85,,0.49,1.51,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,2.47,1.48,0.73,2.18,1.47,2.37,2.73,1.78,2.64,3.13,2.14,1.78,0.6,1.84,1.66,0.63,1.12,4.02,3.2,2.07,1.68,0.69,1.6,1.7,3.08,3.74,1.82,1.01,1.05,1.41,2.11,2.06,0.56,2.74,1.36,4.86,1.69,2.34,2.84,5.04,2.33,3.57,3.93,1.65,2.57,4.02,1.86,2.18,3.05,0.37,,2.06,1.02,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,2,0.59,2.75,5.12,2.06,3.39,1.02,1.63,1.1,2.13,6.25,0.89,1.35,2.21,0.71,0.87,0.45,2.92,0.06,3.22,2.83,3.23,1.8,1.0 ,3.05,1.09,1.42,0.62,3.88,2.13,0.82,1.61,3.35,0.77,1.62,0.42,2.26,1.94,3.57,2.93,1.77,1.98,0.5,1.72,1.15,2.31,2.17,2.81,3.44,1.8,,3.09,0.77,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,1.76,1.87,2.36,2.29,0.1,2.18,0.77,4.46,4.14,0.82,2.83,4.54,2.99,4.89,0.3,2.9,1.52,3.19,2.89,4.36,4.23,2.36,1.1,1.8,3.83,2.33,2.69,0.91,0.71,6.56,5.04,3.27,4.12,3.71,2.08,1.53,2.64,2.07,2.37,1.12,1.95,1.52,1.12,3.91,1.29,0.62,2.62,3.53,0.49,1.67,,1.56,1.32,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,2.76,2.82,1.92,4.21,1.48,6.95,1.51,2.99,2.25,5.16,6.34,3.21,3.66,1.35,1.41,4.28,2.61,5.91,3.56,2.18,3.34,1.95,2.8,3.2,3.87,1.38,0.97,4.02,1.55,0.48,1.72,2.46,3.67,0.3,4.61,3.89,3.8,2.5,2.15,3.73,1.14,3.83,1.2,3.97,4.73,3.84,2.54,3.8,1.02,2.95,,3.02,0.87,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,0.64,2.6,2.3,0.15,1.11,0.71,3.5,1.91,1.5,2.95,1.68,4.89,1.43,1.36,1.79,1.85,2.99,3.49,3.52,1.55,6.63,1.29,0.3,3.3,1.58,4.46,1.77,2.37,3.71,3.22,3.99,1.97,1.25,1.8,0.83,1.79,3.42,1.87,2.38,3.37,1.26,1.35,1.62,3.63,2.76,3.02,2.66,3.36,1.01,3.09,,4.41,0.12,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,5.23,1.78,4.84,3.97,2.96,3.99,2.37,2.51,4.31,4.94,3.95,1.68,2.45,2.04,0.92,1.12,5.14,5.36,2.8,4.37,2.4,5.33,4.6,3.4,0.51,5.78,2.77,2.62,4.76,1.58,3.8,2.79,2.97,3.29,1.13,2.33,3.21,4.13,3.15,0.88,0.8,3.17,5.25,1.62,0.56,3.27,2.13,1.84,1.58,1.99,,1.98,2.94,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
