BENMORE ( FORESTRY SCHOOL ) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS138853,Long,-4.989391,Lat,56.024317,Elevation,46,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5432/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,9.84,14.41,6.3,8.8,12.96,15.64,6.62,5.32,1.5,12.03,11.09,13.89,4.77,13.66,11.1,14.88,11.96,7.98,9.11,7.54,5.95,9.91,5.81,6.75,13.42,9.95,3.25,6.61
February,,,8.06,2.18,11.9,5.4,9.47,8.36,12.74,4.37,7.29,3.74,11.81,4.38,14.37,7.64,1.02,10.65,10.22,8.94,5.47,4.11,4.54,8.4,6.47,2.7,7.2,5.46,3.53,9.04
March,,,5.35,5.11,3.87,6.28,3.2,10.42,7.86,7.41,4.21,7.31,5.83,3.15,6.82,4.71,5.47,9.37,5.59,5.79,5.79,7.82,2.96,6.85,2.78,4.84,9.66,1.88,6.44,3.76
April,,,6.69,6.55,6.7,2.52,4.9,1.67,4.52,4.71,4.62,4.69,8.29,5.93,3.9,4.11,12.13,6.11,12.31,6.23,5.3,3.33,4.51,4.3,6.05,2.91,3.41,3.8,8.12,8.66
May,,,5.35,6.61,1.38,3.1,3.45,5.14,1.66,1.35,3.39,5.32,5.82,7.28,4.97,2.13,6.2,3.56,3.82,2.44,2.57,2.62,4.13,5.73,6.11,5.66,3.83,5.55,2.56,4.37
June,,,4.88,3.69,6.83,3.32,5.54,9.07,3.96,1.63,1.68,4.65,6.4,8.1,8.26,5.88,5.16,7.77,2.35,3.61,2.5,4.43,1.9,5.69,6.81,5.05,3.66,3.79,5.08,4.49
July,,5.98,5.53,4.93,4.1,7.93,6.84,6.89,9.17,5.32,5.34,7.72,5.18,6.21,4.66,5.78,6.32,6.99,4.04,8.43,5.9,4.61,9.58,6.38,1.7,8.44,7.82,5.27,9.36,8.18
August,,5.5,8.21,9.04,3.79,4.71,4.51,5.74,2.77,4.82,8.12,9.86,13.48,5.43,3.32,4.93,0,11.91,7.99,8.61,6.21,8.48,7.4,7.41,1.73,7.7,7.45,8.58,2.6,5.42
September,,7.5,1.2,12.13,10.44,6.75,6.11,8.98,5.98,7.1,4.32,10.5,7.92,9.2,9.64,12.7,9.63,14.08,3.78,18.32,6.6,5.38,11.65,13.4,8.89,6.69,5.99,7.2,2.51,4.45
October,,10.48,5.76,17.54,18.11,11.47,4.25,16.93,3.45,11.73,8.5,13.77,16.99,9.46,11.37,1.21,4.5,15.29,13.07,11.47,3,9.99,5.99,15.46,6.96,7.05,10.17,8.62,9.57,5.38
November,,8.81,5.61,3.25,9.85,7.62,1.87,17.66,15.64,13.39,10.61,3.16,6.79,12.66,1.28,11.2,13.42,6.72,11.4,5.6,12.14,3.64,17.13,14.47,5.21,5.47,3.33,3.2,9.11,9.26
December,,14.15,2.48,14.47,7.39,13.24,5.14,10.07,6.25,12.84,7.8,14.07,6.01,11.66,9.66,10.45,5.59,12.37,17.03,4.02,15.68,9.94,9.62,15.1,13.51,14.73,10.15,9.6,15.13,11.44
Total,,,68.96,99.91,90.66,81.14,68.24,116.57,80.62,79.99,67.38,96.82,105.61,97.35,83.02,84.4,80.54,119.7,103.56,91.44,80.27,71.89,85.36,113.1,72.03,77.99,86.09,72.9,77.26,81.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5432/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,666486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
