PLYMPTON-LEIGHAM,,,,,,,,,,,,,,,,,,,,
Grid ref,SX516584,Long,-4.08964,Lat,50.40673,Elevation,50,ft,,,,,,,,,,,,
Station no,RR8869,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,2.3,2.09,4.99,1.62,4.78,9.18,1.78,,,,,
February,,,,,,,,,3.03,0.55,6.43,3.23,5.19,1.68,6.36,,,,,
March,,,,,,,,,4.5,6.52,0.86,3.84,6.34,4.97,7.9,,,,,
April,,,,,,,,,3.41,2.09,3.02,2.39,0.34,4.94,2.28,,,,,
May,,,,,,,,,2.15,0.99,2.26,1.87,1.76,4,1.92,,,,,
June,,,,,,,,,0.61,3.58,1.69,2.45,5.49,1.17,1.29,,,,,
July,,,,,,,,,2.52,4.22,4.01,1.3,2.63,0.26,7.03,,,,,
August,,,,,,,,,3.43,2.18,5.59,2.73,10.56,1.15,2.49,,,,,
September,,,,,,,,,2.91,1.17,0.31,2.42,1.73,1.89,3.03,,,,,
October,,,,,,,,,1.93,8.37,5.91,4.15,5.66,4.06,3.13,,,,,
November,,,,,,,,,1.65,1.21,5.81,5.41,2.98,5.84,4.92,,,,,
December,,,,,,,,,5.41,7.34,8.96,11.1,7.14,3.01,11.18,,,,,
Total,,,,,,,,,33.85,40.31,49.84,42.51,54.6,42.15,53.31,,,,,
