PLYMPTON LEIGHAM,,,,,,,,,,,,
Grid ref,SX512578,Long,-4.095122,Lat,50.401190,,,,,,,
Station no,RR8869,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.30,2.09,,
February,,,,,,,,,3.03,0.55,,
March,,,,,,,,,4.50,6.52,,
April,,,,,,,,,3.41,2.09,,
May,,,,,,,,,2.15,0.99,,
June,,,,,,,,,0.61,3.58,,
July,,,,,,,,,2.52,4.22,,
August,,,,,,,,,3.43,2.18,,
September,,,,,,,,,2.91,1.17,,
October,,,,,,,,,1.93,8.37,,
November,,,,,,,,,1.65,1.21,,
December,,,,,,,,,5.41,7.34,,
Total,,,,,,,,,33.85,40.31,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.85,40.31,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
