WOLVERHAMPTON-SHORT-HEATH-COUNCIL-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ979008,Long,-2.032442,Lat,52.60498,Elevation,488,ft.,,,,,,,,,,,,
Station no,2334/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,3.07,3.09,6.44,,3.59,2.49,,2.86,1.79,2.39,,,,
February,,,,,,,3.94,0.76,1.22,2.31,3.57,1.01,,1.81,1.98,3.03,,,,
March,,,,,,,2.2,0.59,1.4,1.86,1.59,2.12,0.98,0.38,1.09,0.71,,,,
April,,,,,,,2.38,0.24,2.04,3.52,1.63,1.45,0.78,1.83,0.96,1.24,,,,
May,,,,,,,2.53,2.19,1.28,2.29,3.21,5,3.6,0.8,3.55,2.56,,,,
June,,,,,,,1.2,2.21,1.57,0.85,1.75,0.84,1.55,1.51,2.43,3.56,,,,
July,,,,,,,2.51,3.58,5.28,2.46,3.23,2.97,1.05,2.67,1.76,2.54,,,,
August,,,,,,,2.15,3.49,3.9,0.4,4.21,2.3,2.49,1.57,2.13,6.78,,,,
September,,,,,,,2.92,2.25,1.33,1.09,0.66,1.3,2.34,2.97,1.53,4.17,,,,
October,,,,,,,2.26,3.05,3.85,3.37,2.27,2.39,1.81,3.01,4.05,0.85,,,,
November,,,,,,,2.04,3.17,4.93,6.49,3.85,1.29,1.83,4.18,0.42,6.98,,,,
December,,,,,,,3,4.11,2.35,2.46,1.57,3.04,1.24,1.59,2.89,2.42,,,,
Total,,,,,,,30.2,28.73,35.59,,31.13,26.2,,25.18,24.58,37.23,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is from the 1940s record and is the school. Altitudes match.,,,,,,,,,,,,,,,,,,,,
