"MOYALLON (BANBRIDGE)",,,,,,,,,,,,
Grid ref,IJ0470050700,Long,-6.388632,Lat,54.394269,,,,,,,
Station no,6209,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.97,2.91,1.30,2.04,2.14,,
February,,,,,,1.61,2.13,1.30,1.72,1.51,,
March,,,,,,4.20,1.91,2.81,3.57,3.04,,
April,,,,,,2.39,1.71,2.60,2.85,4.08,,
May,,,,,,1.89,4.22,3.51,2.14,1.28,,
June,,,,,,2.30,1.12,4.38,2.22,1.88,,
July,,,,,,2.20,2.22,2.22,5.51,2.59,,
August,,,,,,6.17,4.25,2.51,2.45,2.04,,
September,,,,,,1.68,1.13,1.21,3.94,2.13,,
October,,,,,,1.20,3.41,3.52,2.63,5.56,,
November,,,,,,2.68,2.52,2.28,2.66,1.21,,
December,,,,,,1.78,2.54,2.50,3.16,3.26,,
Total,,,,,,30.07,30.07,30.14,34.89,30.72,,
Calc annual,0.00,0.00,0.00,0.00,0.00,30.07,30.07,30.14,34.89,30.72,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
