WHITTLESEY-ASHLINE-SLUICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL272962,Long,-0.125512,Lat,52.548795,Elevation,15,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1217/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.59,1.34,,1.95,3.63,1.68,1.42,0.77,1.44,3.6,1.11,0.79,2.41,1.32,0.91,0.62,1.41,3.28,0.89,2.05,2.54,2.54
February,,,,,,,,,0.43,2.21,,0.85,0.42,1.3,1.45,1.58,1.51,0.44,0.71,3.3,2.45,0.4,1.56,1.74,2.33,0.64,2.35,2.58,0.33,1.51
March,,,,,,,,,1.48,1.8,,1.36,0.66,0.12,0.54,1.15,4.03,0.47,0.91,0.42,2.63,2.59,0.76,1.99,1.44,0.4,1.46,0.96,1.75,1.56
April,,,,,,,,,1.92,1.05,,0.5,0.81,1.8,0.67,0.62,1.48,1.08,1.4,2.24,2.39,1.45,1.69,0.28,0.54,0.9,0.17,0.7,1.05,0.32
May,,,,,,,,,0.48,1.31,2.13,2.27,1.95,0.88,1.39,1.81,0.74,3.77,2.17,3.17,3.38,1.55,1.43,1.86,2.53,0.75,1.14,2.32,0.65,0.74
June,,,,,,,,,1.59,0.54,0.66,0.59,1.9,1.56,2.21,3.9,2.64,3.13,0.62,1.26,1.09,1.15,3.43,2.06,1.93,2.82,1.52,4.78,0.65,2.05
July,,,,,,,,,2.69,4.04,3.68,2.31,0.92,2.18,1.46,2.11,2.17,1.48,2.53,3.29,0.76,0.34,1.79,2.2,0.21,2.74,2.74,2.09,2.43,2.77
August,,,,,,,,,1.63,0.08,3.68,1.78,1.79,2.37,1.71,3.02,0,3.48,1.67,2.06,4.47,2.21,2.98,4.27,0.81,5.33,1.98,2.24,1.25,1.4
September,,,,,,,,,1.03,0.47,0.51,0.97,1.33,2.9,1.37,3.05,0.76,1.85,0.57,3.15,1.82,2.35,0.87,1.6,1.72,1.28,4.11,2.59,0.05,2.7
October,,,,,,,,1.76,4.75,1.93,1.55,2.07,0.97,2.57,1.79,1.31,0.27,2.71,3.62,0.46,0.88,2.82,2.24,2.23,1.74,1.03,1.08,1.52,1.14,4.7
November,,,,,,,,1.65,3.21,5.51,3.19,2.74,1.17,2.57,0.34,4.22,1.16,1.56,2.43,3.56,2.65,2.48,1.36,4.14,0.92,0.72,1.47,1.62,1.38,3.51
December,,,,,,,,4.46,1.11,1.52,0.54,1.71,0.75,1.13,1.79,2.37,1.9,2.11,1.13,0.82,1.01,1.33,0.63,2.25,1.21,1.65,1.62,2.31,2.93,3.07
Total,,,,,,,,,23.91,21.8,,19.1,16.3,21.06,16.14,25.91,18.1,25.68,18.87,24.52,25.94,19.99,19.65,25.24,16.79,21.54,20.53,25.76,16.15,26.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
