LEICESTER-TOWN-MUSEUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK587043,Long,-1.134104,Lat,52.633286,Elevation,213,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,3.12,0.43,1.15,2.95,,,2.79,,,,,,,,,,,1.87,2.6,1.89,2.99,1.57,1.33,0.35,0.6,2.11,2.26,2.14,1.78,2.56,2.67,0.81,,,1.81,0.45,1.04,1.09,3.26,1.03,1.87,1.15,2.47,2.98,0.91,0.65,1.6,2.15,0.7,3.08,0.87,0.82,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,0.4,0.49,1.61,0.71,,,0.43,,,,,,,,,,,1.55,1.04,2.67,2.68,1.24,1.96,2.35,3.63,2.27,3.19,0.96,2.68,0.31,0.48,1.39,,,0.14,1.8,2.13,1.54,0.16,0.52,2.61,0.84,1.52,4.3,1.04,1.27,0.63,2.06,0.49,2.12,0.89,0.92,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.55,0.9,2.11,2.75,,,,,,,,,,,,,,0.96,0.62,2.82,1.84,0.69,0.68,1.42,1.43,1.24,0.95,1.62,1.14,2.36,1.78,1.87,,,1.16,0.86,0.2,0.69,1.34,1.97,2,0.89,1.08,0.6,1.56,1.03,2.54,1.31,2.03,1.36,1.1,2.21,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,2.38,2.76,2.15,0.91,,,,,,,,,,,,,,1.34,1.25,2.77,3.15,1.57,2.11,1.57,1.5,3,2.15,1.77,2.24,2.14,1,,,,1.5,0.82,0.33,1.25,1.46,0.78,1.59,1.96,1.76,0.78,1.17,1.85,1.44,0.84,1.19,0.64,1.48,2.51,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,2.48,4.33,1.66,2.39,,,,,,,,,,,,,,1.75,1.9,0.64,2.14,4.71,3.22,1.63,0.98,2.41,2.26,1.1,2.49,4.9,2.18,,,,2.34,1.53,1.83,1.4,0.92,0.57,1.12,2.69,2.68,1.45,0.85,2.3,2.12,1.75,0.21,1.51,2.81,1.66,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,2.43,0.54,3.69,3.72,,,,,,,,,,,,,,0.6,4.46,1.97,0.81,1.7,4.34,3.8,2.59,4.11,3.91,1.86,2.55,1.5,1.44,,,,2.78,2.75,0.69,1.61,0.51,2.03,2.03,0.74,0.82,2.65,1.96,1.78,1.58,0.16,2.42,3.17,1.85,1.34,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,2.4,0.79,0.25,-999,,2.6,,,,,,,,,,,,1.2,6.42,0.71,2.66,2.04,3.72,6.74,1.36,3.36,4.74,3.31,0.13,3.74,0.77,,,,2.62,1.94,1.99,1.98,3.14,2.36,0.55,0.68,1.81,2.62,3.4,0.93,2.05,3,1.29,0.62,2.43,3.09,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,5.89,3.55,2.64,-999,,2.57,,,,,,,,,,,,2.17,2.65,2.11,2.6,6.76,4.01,1.66,5.18,2.22,1.16,2.25,2.98,1.82,1.55,,,,2.74,1.41,1.26,2.3,1.59,2.41,3.2,3.95,1.06,3.43,1.35,3.77,3.58,3.52,2.94,1.03,2.1,2.85,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,2.44,3,,2.78,-999,,2.77,,,,,,,,,,,,2.53,2.77,5.56,1.56,1.82,3.33,5.28,2.37,2.51,5.12,1.3,3.16,1.6,2.59,,,,1.01,2.17,1.51,0.96,0.4,3.38,2.02,0.51,3.95,0.34,1.31,1.01,2.07,1.42,2.07,0.95,0.69,1.33,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,2.74,2.59,,2.81,2.67,,3.13,,,,,,,,,,,,2.19,5.67,1.51,1.3,2.57,0.91,5.43,2.81,5.56,2.16,1.52,5.44,4.22,1.94,,,,4.43,3.1,2,2.25,2.77,2.72,1.14,2.68,2.19,2.04,1.2,1.65,5.17,0.45,1.14,3.53,4.32,0.9,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,1.55,1.95,,3.1,1.37,,0.97,,,,,,,,,,,,2.23,3.56,3,2.54,3.25,1.09,1.69,2.35,3.18,4,1.57,2.9,1.97,1.73,,,,1.95,1.13,1.57,1.76,3.36,1.13,1.18,2.09,1,2.2,0.79,1.15,1.26,1.05,1.89,2.82,1.77,0.78,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,1.3,0.42,,2.52,0.98,,1.76,,,,,,,,,,,,1.78,1.42,4.81,1.69,1.81,0.95,3.22,2.76,4.28,1.02,2.4,0.65,3.67,1.37,,,,2.87,1.05,1.63,2.01,2.22,3,2.55,1.56,1.73,3.49,3.77,0.92,1.16,1.38,0.65,2.24,2.68,1.31,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,28.61,,26.47,27.6,,,,,,,,,,,,,,20.17,34.36,30.46,25.96,29.73,27.65,35.14,27.56,36.25,32.92,21.8,28.14,30.79,19.5,,,,25.35,19.01,16.18,18.84,21.13,21.9,21.86,19.74,22.07,26.88,19.31,18.31,25.2,19.09,17.02,23.07,22.99,19.72,22.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1850-1859_F_pt1 page 47 added to location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860 Jul-Sep bracketed (-999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
