"BELFORD (NEWLANDS)",,,,,,,,,,,,
Grid ref,NU116322,Long,-1.817546,Lat,55.583312,,,,,,,
Station no,3593,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.81,1.29,1.07,1.81,1.45,2.96,1.64,2.00,2.19,3.52,,
February,2.07,0.68,1.14,1.67,1.46,1.45,2.06,2.36,0.25,2.32,,
March,2.64,0.98,,1.00,1.10,0.58,1.51,3.42,0.72,1.26,,
April,2.26,1.12,1.84,0.43,0.68,0.70,0.48,2.16,2.01,0.88,,
May,2.31,1.77,2.05,2.41,1.39,0.41,1.89,2.68,0.34,2.11,,
June,1.27,1.74,1.85,1.35,1.26,1.62,1.29,2.48,1.43,1.21,,
July,2.59,1.27,2.90,2.27,1.01,3.76,2.39,3.70,1.35,2.89,,
August,2.85,2.53,1.68,4.51,0.40,7.83,5.00,2.39,0.34,3.19,,
September,0.76,2.87,1.54,2.53,1.07,2.56,2.51,1.87,0.87,2.36,,
October,0.41,2.37,1.17,3.63,2.51,1.24,1.42,1.43,1.52,5.62,,
November,5.36,3.04,1.47,2.72,1.16,1.09,1.35,0.71,3.97,2.34,,
December,1.15,3.29,0.96,0.90,2.93,2.19,1.69,4.22,3.82,1.86,,
Total,25.48,22.95,17.67,25.23,16.42,26.39,23.23,29.42,18.81,29.56,,
Calc annual,25.48,22.95,17.67,25.23,16.42,26.39,23.23,29.42,18.81,29.56,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
