STOCKPORT,,,,,,,,,,,,
Grid ref,SJ896902,Long,-2.157910,Lat,53.408510,,,,,,,
Station no,RR6201,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,2.45,1.16,2.31,1.92,,
February,,,,,,,2.28,1.59,3.10,1.58,,
March,,,,,,,1.60,2.33,2.68,2.95,,
April,,,,,,,1.23,1.12,2.13,2.91,,
May,,,,,,,1.68,4.70,2.17,2.52,,
June,,,,,,,0.82,5.23,2.25,2.19,,
July,,,,,,,1.37,2.92,4.97,4.79,,
August,,,,,,,1.94,3.57,3.46,2.98,,
September,,,,,,,1.00,0.64,3.71,2.26,,
October,,,,,,,4.11,3.42,1.49,5.08,,
November,,,,,,,1.87,2.16,2.83,1.36,,
December,,,,,,,2.95,2.60,3.13,6.89,,
Total,,,,,,,23.30,31.44,34.23,37.43,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,23.30,31.44,34.23,37.43,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,0.00,,
