STOCKPORT-CORBIN,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ895902,Long,-2.1594142,Lat,53.408508,Elevation,186,ft.,,,,,,,,,,,,
Station no,RR6201,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,2.45,1.16,2.31,1.92,3.16,1.06,2.52,3.57,2.47,5.09,,,,
February,,,,,,,2.28,1.59,3.1,1.58,2.56,2.69,1.23,1.29,2.44,2.89,,,,
March,,,,,,,1.6,2.33,2.68,2.95,0.67,1.68,4.46,4.07,3.95,1.52,,,,
April,,,,,,,1.23,1.12,2.13,2.91,3.49,2.25,0.77,4.14,1.57,1.62,,,,
May,,,,,,,1.68,4.7,2.17,2.52,2.76,1.55,2.69,2.67,2.23,1.57,,,,
June,,,,,,,0.82,5.23,2.25,2.19,2.56,3.46,4.14,2.17,2.75,2.25,,,,
July,,,,,,,1.37,2.92,4.97,4.79,4.32,0.43,4.56,0.83,3.93,4.22,,,,
August,,,,,,,1.94,3.57,3.46,2.98,5.34,2.25,6.74,2.07,2.88,4.92,,,,
September,,,,,,,1,0.64,3.71,2.26,0.31,3.77,1.75,1.25,2.53,0.54,,,,
October,,,,,,,4.11,3.42,1.49,5.08,2.44,2.45,3.08,1.75,1.69,1.74,,,,
November,,,,,,,1.87,2.16,2.83,1.36,4.41,2.99,2.59,3.1,3.89,1.72,,,,
December,,,,,,,2.95,2.6,3.13,6.89,2.59,4.67,4.14,2.71,5.39,5.6,,,,
Total,,,,,,,23.3,31.44,34.23,37.43,34.61,29.25,38.67,29.62,35.72,33.68,,,,
,,,,,,,,,,,,,,,,,,,,
NGR has the stated relationship to church and station and matches stated altitude. NGR could be +/- 200m,,,,,,,,,,,,,,,,,,,,
Gauge is noted as moving in Sept 1907 but not details of the move but annotations on the church and station relationships suggest the move was about 100m to 200m,,,,,,,,,,,,,,,,,,,,
