STORRINGTON-GREYFRIARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ084131,Long,-0.459623,Lat,50.907204,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,448/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,3.5,0.73,6.04,6.81,4.86,6.77,3.36,3.89,3.89,6.9,2.93,1.97,3.74,3.65,6.77,1.77,1.36,4.39,3.04,1.5,1.94,4.6,5.58,3.58,,,
February,,,,0.06,4.33,3.16,5.77,0.76,1.89,3.33,4.21,0.56,1.97,0.89,2.53,4.37,3.23,1.91,1.56,6.14,7.48,1.02,1.55,3.11,2.17,0.36,5.49,,,
March,,,,3.04,0.68,2.21,4.44,0.53,1.7,4.38,3.78,3.22,0.47,0.18,1.88,1.7,8.44,0.97,1.47,2.13,4.7,3.25,0.37,4.25,1.48,0.45,2.33,,,
April,,,,3.78,3.98,2.58,3,0.25,2.91,1.36,1.63,1.56,1.41,1.94,1.02,2.48,2.05,1.75,1.91,2.24,2.41,2.34,2.95,0.34,0.28,1.67,0.1,,,
May,,,,0.6,1.62,0.65,2.43,2,1.53,1.46,2.53,3.17,2.52,0.65,2.15,3.5,1.37,3.02,2.14,1.45,2.87,1.93,1.44,1.79,4.05,0.39,1.35,,,
June,,,,1.17,3.38,3.03,1.15,0.57,1.43,0.54,2.17,0.22,1.18,2.05,2.85,3.98,2.57,2.79,0.91,0.91,3.11,1.15,1.85,3.99,2.73,1.89,2.25,,,
July,,,,1.69,0.71,5.14,1.72,3.11,3.76,2.36,3.07,2.14,2.43,3.3,4.89,2.25,1.05,2.06,0.31,3.74,2.29,0.65,4.38,4.63,0.82,3.91,3.68,,,
August,,,,3.6,4.66,0.81,1.13,1.16,3.01,0.14,4.38,4.46,1.6,1.65,2.61,6.53,0.46,5.12,1.95,2.78,6.92,3.12,2.34,3.26,1.8,4.95,3.43,,,
September,,,,2.09,6.89,3.23,1.99,2.44,1.25,1.6,0.39,2.71,1.86,2.97,2.72,4.78,1.34,2.82,1.4,3.91,3.71,3.67,3.99,3.25,2.32,5.57,4.47,,,
October,,,,2.8,6.3,1.88,2.97,5.49,6.89,5.29,1.1,4.58,3.85,4.56,4.13,0.73,0.6,2.24,10.32,0.62,1.85,4.74,4.06,3.24,4.21,2.05,,,,
November,,,,5,9.41,5.81,1.93,5.01,8.61,10.27,4.2,1.97,2.02,6.46,0.31,6.19,1.81,2.64,4.13,7.61,7.04,4.23,2.05,7.59,2.25,0.73,,,,
December,,,,11.31,6.29,3.09,4.53,5.55,2.45,3.14,2.27,3.6,3,2.16,5.44,4.33,2.75,4.28,2.59,2.51,3.95,3.68,1.03,3.13,5.34,6.02,,,,
Total,,,,,48.98,37.63,37.87,31.73,42.2,37.23,33.62,32.08,29.21,29.74,32.5,44.58,29.32,36.37,30.46,35.4,50.72,32.82,27.51,40.52,32.05,33.57,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 Total bracketed - noted as too many adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
