"SPALDING (SURVEYOR'S DEPOT)",,,,,,,,,,,,
Grid ref,TF244225,Long,-0.156865,Lat,52.785748,,,,,,,
Station no,2629/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.43,1.51,0.90,1.74,2.38,5.70,0.85,1.94,,3.58,,
February,2.51,0.56,1.91,1.86,3.08,0.83,2.47,3.23,,2.44,,
March,3.18,2.55,0.66,1.69,1.97,0.69,1.74,1.50,,1.40,,
April,2.21,1.36,1.65,0.39,0.92,1.27,0.26,0.87,,0.37,,
May,2.64,1.62,2.41,3.38,2.99,1.07,1.63,1.63,,0.74,,
June,1.01,0.95,3.36,2.89,2.15,2.33,1.20,4.11,,1.25,,
July,1.19,0.22,1.90,2.62,0.27,3.54,3.13,3.52,,2.56,,
August,4.09,2.32,3.26,3.50,0.87,3.09,1.84,2.68,,3.19,,
September,1.36,2.31,0.87,1.83,0.96,1.34,3.90,2.11,,2.60,,
October,0.98,2.23,1.98,1.29,1.38,1.02,0.78,1.91,,5.23,,
November,3.54,2.70,1.89,4.46,1.15,0.66,2.23,1.42,,3.22,,
December,1.44,1.68,0.75,2.09,1.45,1.63,2.05,2.52,,3.16,,
Total,26.58,20.01,21.54,27.74,19.57,23.17,22.08,27.44,,29.74,,
Calc annual,26.58,20.01,21.54,27.74,19.57,23.17,22.08,27.44,0.00,29.74,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,NaN,0.00,,
