SPALDING - SURVEYOR'S DEPOT,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF244225,Long,-0.157,Lat,52.786,Elevation,15,ft,,,,,,,,,,,,,,,,
Station no,2529/5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.01,2.11,4.22,1.98,2.93,2.09,3.77,1.88,2.18,1.04,1.78,,1.47,0.84,2.43,1.51,0.90,1.74,2.38,5.70,0.85,1.94,,3.58
February,2.43,1.03,0.52,2.22,2.06,0.83,0.16,1.61,1.63,2.56,1.67,,0.56,3.10,2.51,0.56,1.91,1.86,3.08,0.83,2.47,3.23,,2.44
March,2.59,0.21,1.56,1.58,3.72,1.16,0.46,0.22,0.68,1.07,4.18,,0.81,0.53,3.18,2.55,0.66,1.69,1.97,0.69,1.74,1.50,,1.40
April,2.14,0.08,2.19,0.98,0.70,0.43,1.11,1.94,0.82,1.61,2.03,,2.08,2.10,2.21,1.36,1.65,0.39,0.92,1.27,0.26,0.87,,0.37
May,4.05,2.62,0.75,0.74,2.76,2.65,2.00,0.95,1.63,1.10,0.25,,2.27,2.89,2.64,1.62,2.41,3.38,2.99,1.07,1.63,1.63,,0.74
June,1.14,0.83,1.52,0.88,0.42,0.75,2.10,2.80,1.98,1.82,2.35,,0.49,1.58,1.01,0.95,3.36,2.89,2.15,2.33,1.20,4.11,,1.25
July,4.31,2.49,3.19,3.25,5.98,2.20,1.02,1.94,1.50,1.70,2.14,,2.35,2.80,1.19,0.22,1.90,2.62,0.27,3.54,3.13,3.52,,2.56
August,0.30,1.11,2.36,0.44,3.95,2.19,1.64,2.82,3.74,3.60,0.05,,1.12,2.01,4.09,2.32,3.26,3.50,0.87,3.09,1.84,2.68,,3.19
September,1.61,1.65,0.55,0.88,0.85,1.38,1.66,3.44,1.60,2.45,1.02,,0.91,2.33,1.36,2.31,0.87,1.83,0.96,1.34,3.90,2.11,,2.60
October,2.11,1.23,3.79,2.48,2.56,2.18,1.09,2.22,1.79,2.34,0.20,,3.40,0.58,0.98,2.23,1.98,1.29,1.38,1.02,0.78,1.91,,5.23
November,1.34,1.26,2.89,4.48,2.94,2.58,1.40,2.60,0.71,4.58,0.86,,2.50,3.62,3.54,2.70,1.89,4.46,1.15,0.66,2.23,1.42,,3.22
December,2.55,3.76,2.05,1.26,0.45,0.99,0.61,1.00,2.28,1.95,1.83,,1.04,0.93,1.44,1.68,0.75,2.09,1.45,1.63,2.05,2.52,,3.16
Total,27.58,18.38,25.59,21.17,29.32,19.43,17.02,23.42,20.54,25.82,18.36,,19.00,23.31,26.58,20.01,21.54,27.74,19.57,23.17,22.08,27.44,,29.74
,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/081,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/165,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/168,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"# This was a roof gauge, from at least 1949.",,,,,,,,,,,,,,,,,,,,,,,,
