MONEYDIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NW052761,Long,-6.610082,Lat,54.992724,Elevation,112,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6238/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.63,4.48,6,4.11,4.99,3.37,3.84,4.55,6.58,4.56,2.51,5.82,2.11,7.39,4.27,2.4,1.71,0.85,2.33,5.26,5.69,2.64,5.54,3.12,2.93,3.43,5.17,2.46,3.46,3.09,6.22,3.31,2.14,1.6,1.48,4.12,3.55,3.11,2.15,6.18,5.21,2.43,4.11,2.75,2.74,3.38,4.49,1.41,,,,,,,,,,,,,,,,,,,,,,,3.77,2.24,4.65,6.5,5.12,3.54,2.49,1.46,7.16,5.36,3.71,4.46,4.79,5.01,5.34,3.59,3.32,4.52,6.57,1.47,3.74,3.95,4.31,5.66,5.27,2.94,3.77
February,,,,,1.86,3.87,3.77,3.37,3.22,4.06,3.02,3.05,3.89,1.29,2.32,1.26,4.42,3.82,1.75,1.82,2.51,4.79,2.97,4.13,4.28,4.76,2.93,1.76,0.96,3.45,1.14,0.17,2.43,3.6,5.98,0.62,3.87,2.49,4.85,2.26,3.54,1.48,2.62,2.78,2.9,3.2,3.14,2.54,3,2.65,5.05,2.89,,,,,,,,,,,,,,,,,,,,,,,0.57,4.44,1.75,4.72,2.65,3.11,2.46,3.5,2.19,3.29,1.56,3.64,3.81,0.7,2.73,3.02,2.98,3.66,1.94,1.63,4.21,4.07,1.48,3.06,5.05,0.74,4.88
March,,,,,3.58,2.77,2.95,1.66,4.28,2.17,1.19,2.56,3.16,2.29,2.39,1.93,4.92,2.81,2.37,2.18,2.17,4.44,2.76,2.2,4.13,2.42,2.66,1.64,2.77,1.77,3.08,3.4,1.03,2,2.89,3.06,5.28,4.5,1.62,2.32,1.13,3.19,2.05,5.41,2.25,4.41,2.69,5.02,4.42,4.28,2.28,1.39,,,,,,,,,,,,,,,,,,,,,,,2.29,1.2,2.43,2.37,2.19,3.97,4.24,2.97,2.85,1.27,1.34,1.27,1.67,4.01,2.6,2.79,2.12,2.67,2.09,0.57,3.18,0.81,1.27,2.75,1.51,3.06,1.68
April,,,,,2.27,1.27,1.66,4.75,1.94,2.43,1.6,3.77,3.44,0.81,2.48,0.26,2.74,2.69,2.4,1.95,3.6,1.52,2.63,1.84,1.45,2.71,2.14,2.35,2,2.68,1.74,1.37,0.97,1.34,1.91,1.82,1.99,2.15,5.11,4.37,2.92,2.77,2.83,1.81,2.53,2.3,3.26,2.76,3.12,3.59,2.42,,,,,,,,,,,,,,,,,,,,,,,,3.11,2.69,0.99,3.09,0.25,2.2,4.56,1.35,2.12,3.22,2.26,1.72,1.1,4.45,2.26,2.46,5.68,1.63,1.29,2.3,1.08,2.39,1.24,1.37,2.16,3.27,2.56
May,,,,,2.09,3.68,1.36,2.65,2.56,2.03,2.24,1.1,3.44,2.61,1.47,2.05,0.34,2.45,4.32,3.78,1.16,2.86,2.47,2.29,3.25,2.91,2.96,2.14,2.56,2.83,1.72,3.72,3.72,1.08,1.55,0.65,0.91,2.3,2.94,3.91,3.42,2.54,3.93,2.73,2.27,1.5,3.32,5.31,2.54,1.8,2.16,,,,,,,,,,,,,,,,,,,,,,,,2.96,1.05,1.29,1.59,2.85,1.05,1.2,2.56,4.01,3.47,1.95,4.66,1.29,4.52,1.9,2.04,1.5,1.71,1.88,2.38,5.11,3.41,1.38,1.94,2.42,1.72,2.37
June,,,,,4.19,0.71,2.12,2.22,1.01,2.1,2.26,2.47,4.78,1.61,2.74,2.43,3.02,4,3.17,4.58,2.13,4.12,3.54,2.37,0.83,0.6,2.46,0.97,3.83,0.61,2.9,1.8,2.98,1.67,2.08,1.61,3.33,6.4,2.57,2.47,5.22,2.95,2.26,1.57,1.46,1.68,0.9,5.13,2.13,2.13,3.02,,,,,,,,,,,,,,,,,,,,,,,2.94,2.02,5.19,1.81,2.2,3.89,4.21,1.34,0.44,1.02,3.66,3.08,4.38,4.51,5.63,3.78,1.17,2.7,3.44,2.2,2.82,3.28,2.98,3.34,2.05,4.28,2.75,3.13
July,,,,,1.73,2.2,2.74,5.69,0.75,2.09,1.84,6.01,2.08,4.82,2.79,2.65,1.74,4.17,0.73,4.65,5.12,2.51,8.23,2.68,2.85,1.59,2.94,3.22,5.57,3.74,3.55,3.75,2.62,2.43,4.24,4.29,5.34,2.04,0.6,3.2,3.25,1.95,2.27,4.15,4.26,1.7,1.92,3.21,2.9,3.53,3.77,,,,,,,,,,,,,,,,,,,,,,,2.03,3.1,1.22,6.96,5.38,5.22,4.76,3.74,3.17,5.13,2.06,4.31,5.09,4.8,3.62,2.99,2.24,6.21,3.79,1.87,5.15,3.42,1.09,5.57,6.62,5.26,3.26,6.22
August,,,,,2.23,6.15,4.8,2.33,4.66,1.89,2.07,2.7,4.5,5.73,5.03,2.87,4.23,4.91,3.07,3.51,2.63,4.48,3.12,5.73,3.76,2.06,1.62,2.99,4.2,6.95,3.24,5.02,5.09,4.31,2.64,4.01,2.67,5.52,3.42,2.81,4.17,3.96,2.9,5.05,5.88,5.13,5.15,3.91,2.74,2.3,6.32,,,,,,,,,,,,,,,,,,,,,,,2.33,5.26,2.13,2.78,4.8,2.33,1.69,1.5,4.91,4.66,5.75,2.55,1.75,4.85,0.31,3.85,3,5.28,4.83,5.35,3.9,3.16,0.63,6.54,4.05,4.96,1.08,5.37
September,,,,,3.62,0.56,4.47,1.94,1.42,4.97,2.91,2.94,6.9,3.61,5.2,4.47,3.72,1.83,3.76,4.84,3.62,2.13,4.36,5.6,3.62,5.72,3.61,3.36,1.42,3.36,3.13,2.7,2.94,3.46,0.31,0.81,4.12,2.12,4.05,4.94,2.37,4.06,4.22,4.53,3.25,1.8,1.46,1.09,4.22,2.71,1.33,,,,,,,,,,,,,,,,,,,,,,,1.12,6.13,4.47,5.15,3.23,3.05,2.65,3.71,0.92,5.83,3.66,6.14,3.18,5.76,2.87,4.49,3.12,8.26,2.75,3.49,3.47,5,4.38,3.68,5.34,3.57,1.18,2.55
October,,,,,1.77,4.89,2.5,7.12,3.05,1.97,7.97,2.7,5.95,4.58,4.4,4,4.79,5.03,5.03,1.74,1.52,4.66,2.63,4.15,5.04,4.36,4,3.17,2.44,4.36,2.45,3.88,5.17,4.37,3.47,6.16,4.06,2.4,2.93,2,4.71,4.18,2.7,7.23,1.67,2.89,3.43,3.41,2.14,4.3,2.25,,,,,,,,,,,,,,,,,,,,,,,4.27,5.74,6.7,3.41,2.34,7.17,2.23,4.84,5.02,4.07,3.22,5.2,3.89,1.46,2.16,3.76,5.64,4.43,1.61,5.03,2.91,5.19,3.89,3.99,3.99,2.95,4.89,3.52
