"GARVAGH MONEYDIG",,,,,,,,,,,,
Grid ref,IC8900017001,Long,-6.610082,Lat,54.992724,,,,,,,
Station no,6238/5,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.55,3.11,2.15,6.18,5.21,2.43,4.11,2.75,2.74,3.38,,
February,3.54,1.48,2.62,2.78,2.90,3.20,3.14,2.54,3.00,2.65,,
March,1.13,3.19,2.05,5.41,2.25,4.41,2.69,5.02,4.42,4.28,,
April,2.92,2.77,2.83,1.81,2.53,2.30,3.26,2.76,3.12,3.59,,
May,3.42,2.54,3.93,2.73,2.27,1.50,3.32,5.31,2.54,1.80,,
June,5.22,2.95,2.26,1.57,1.46,1.68,0.90,5.13,2.13,2.13,,
July,3.25,1.95,2.27,4.15,4.26,1.70,1.92,3.21,2.90,3.53,,
August,4.17,3.96,2.90,5.05,5.88,5.13,5.15,3.91,2.74,2.30,,
September,2.37,4.06,4.22,4.53,3.25,1.80,1.46,1.09,4.22,2.71,,
October,4.71,4.18,2.70,6.23,1.67,2.89,3.43,3.41,2.14,4.30,,
November,5.43,3.98,4.14,3.43,4.51,3.86,3.62,2.77,3.41,1.85,,
December,3.65,4.20,4.07,2.51,2.58,2.65,4.39,3.65,3.72,3.68,,
Total,43.36,38.37,36.14,46.38,38.77,33.55,37.39,41.55,37.08,36.20,,
Calc annual,43.36,38.37,36.14,46.38,38.77,33.55,37.39,41.55,37.08,36.20,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
