"DUNFANAGHY, ST PATRICKS",,,,,,,,,,,,,,,,,,,,,
Grid ref,IC0166136639,Long,-7.9746902,Lat,55.177091,Elevation,30,ft,,,,,,,,,,,,,
Station no,6260,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,7.26,8.64,1.22,6.61,5.08,5.08,5.15,5.23,2.98,3.93,5.64,4.98,3.09,3.46
February,,,,,,,,2.21,4.35,2.59,0.8,5.17,0.49,3.1,0.81,3.61,2.79,2.87,1.69,3.47,2.69
March,,,,,,,,3.03,2.57,0.25,2.81,1.29,2.34,2.75,3.14,1.48,2.13,1.05,2.04,3.58,4.67
April,,,,,,,,3.19,2.25,1.8,2.33,2.43,4.18,1.75,1.76,3.25,1.64,1.91,0.42,1.44,3.96
May,,,,,,,,1.25,0.92,2.34,1.06,2.71,2.3,2.23,2.56,1.04,1.65,2.45,1.74,1.18,2.14
June,,,,,,,,3.68,3.66,3.74,2.62,4.87,1.13,1.77,1.92,5.33,1.6,2.22,5.77,1.8,1.78
July,,,,,,,2.47,3.53,2.67,2.81,2.66,4.71,5.41,3.88,3.78,1.77,6.26,4.04,3.73,4.28,3.97
August,,,,,,,3.4,4.94,6.49,5.38,4.85,1.7,1.23,3.41,4.68,2.84,2.88,4.04,2.27,1.46,1.64
September,,,,,,,5.02,5.15,4.62,2.25,2.19,2.69,4.5,0.56,6.75,4.89,5.59,2.84,2.06,1.82,3.31
October,,,,,,,5.68,4.36,5.78,4.64,5.99,3.19,5.65,4.52,6.71,5.41,3.18,1.47,5.9,1.93,5.26
November,,,,,,,5.7,4.25,5.53,5.04,4.9,4.66,4.2,1.59,1.64,3.8,4.97,2.69,7.4,6.51,5.89
December,,,,,,,2.04,1.25,4.64,7.97,4.36,4.14,5.3,1.86,5.63,3.69,5.45,3.35,4.74,3.17,4.98
Total,,,,,,,,44.1,52.12,40.03,41.18,42.64,41.81,32.57,44.61,40.09,42.07,34.57,42.74,33.73,43.75
,,,,,,,,,,,,,,,,,,,,,
"Grid ref near Crocknageeha, long gone, from distance/direction from church",,,,,,,,,,,,,,,,,,,,,
