DUNFANAGHY ST HELEN'S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IC0172737167,Long,-7.973649504,Lat,55.18183518,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,6260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,6.11,5.62,3.78,7.65,3.28,3.85,6.03,6.47,1.85,3.26,5.22,3.63,4.94,4.16,2.9,2.32,4,6.16,5.43,3.96,4.14,3.58,3.66,6.23,,,,
February,,,,5.8,3.73,3.98,4.76,4.65,3.61,3.87,6.98,4.65,3.13,3.66,7.55,4,5.88,2.43,4.49,1.25,4.4,1.69,4.2,3.67,2.48,5.62,2.61,,,,
March,,,,7.11,2.37,4.22,3.94,4.81,5.08,3.98,2.85,2.1,4.22,5.06,4.7,2.08,2.36,3.04,1.46,4.12,4.21,6.58,2.08,1.84,0.86,4.01,,,,,
April,,,,2.26,3.93,2.16,2.93,2.52,2.46,3.17,2.65,2.48,3.62,5.27,3.13,3.69,4.11,3.45,1.14,2.87,2.93,1.88,3.26,2.68,4.66,4.34,,,,,
May,,,,2.72,2.09,1.14,2.84,4.43,2.37,2.03,2.83,1.17,1.34,3.14,2.56,1.67,6.87,3.63,1.57,1.42,4.2,2,1.24,2.34,3.75,3.76,,,,,
June,,,,1.18,1.14,2.07,0.8,4.35,2.56,2.15,4.32,2.63,5,3.19,1.07,1.01,1.69,2.88,1.69,3.82,1.95,0.83,2.68,1.88,3,0.63,,,,,
July,,,,4.41,3.43,2.74,2.59,2.97,3.41,5.8,3.82,2.37,5.12,1.89,3.51,4.48,1.82,1.51,1.89,1.4,2.84,2.67,3.11,4.18,3.19,4.07,,,,,
August,,,,6.27,5.03,5.17,5.5,5.07,6.64,4.07,6.74,3.06,5.24,1.57,2.96,2.5,3.09,5.13,5.82,4.59,4.32,4.22,3.54,6.1,4.51,4.48,,,,,
September,,,,2.66,4.15,3.56,2.1,1.62,6.57,2.25,0.96,2.39,2.4,4.21,2.29,2.2,1.95,3.35,6.5,3.87,3.61,1.91,3.08,5.52,6.43,3.94,,,,,
October,,,,8.27,2.84,4.13,5.06,5.08,0.91,6.55,2.3,3,4.01,2.72,2.05,2.6,6.61,7.87,,2.45,2.06,4.01,2.16,6.23,2.56,3.74,,,,,
November,,,4.82,4,5.52,4.85,4.77,4.34,3.58,3.9,4.61,6.1,5.62,6.84,6.84,3.13,5.26,7.66,,5.55,6.11,4.45,2.71,4.63,3.92,3.17,,,,,
December,,,4.11,3.94,4.19,4.3,5.03,5.8,5.28,4.86,2.66,7.53,7.63,5.75,6.9,7.13,4.3,4.62,,7.25,3.41,6.98,4.47,4.78,7.61,5.51,,,,,
Total,,,,54.73,44.04,42.1,47.97,48.92,46.32,48.66,47.19,39.33,50.59,48.52,47.19,39.43,48.1,48.47,,42.59,46.2,42.65,36.49,47.99,46.55,46.93,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref distance/direction from parish (Holy Cross Catholic) church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
