DUNFANAGHY,,,,,,,,,,,,,,,,,,,,
Grid ref,IC0178636818,Long,-7.9727268,Lat,55.178699,Elevation,11,ft,,,,,,,,,,,,
Station no,6260,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,,2.22,,3.29,,,,,,,
February,,,,,,,,,,,3.79,,2.81,,,,,,,
March,,,,,,,,,,,2.13,,3.65,,,,,,,
April,,,,,,,,,,1.6,3.59,,1.64,,,,,,,
May,,,,,,,,,,2.57,1.88,,1.65,,,,,,,
June,,,,,,,,,,3.9,3,,5.32,,,,,,,
July,,,,,,,,,,3.79,6.13,2.49,5.71,,,,,,,
August,,,,,,,,,,3.7,0.87,1.66,2.92,,,,,,,
September,,,,,,,,,,5.69,2.53,1.78,4.47,,,,,,,
October,,,,,,,,,,3.73,2.73,3.07,7.05,,,,,,,
November,,,,,,,,,,2.23,8.61,5.62,6.05,,,,,,,
December,,,,,,,,,,2.48,5.05,5.01,5.92,,,,,,,
Total,,,,,,,,,,,42.53,,50.48,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Distance from church puts the observer somewhere along Old Cottage Road,,,,,,,,,,,,,,,,,,,,
