DUNFANAGHY HORN HEAD HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,IC0083338061,Long,-7.9876895,Lat,55.189865,Elevation,163,ft,,,,,,,,,,,,
Station no,6260,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,4.85,3.54,4.63,6.17,5.22,3.72,6.97,2.83,3.47,5.46,5.52,1.68,3.2,5.1,3.26,4.7,4.1,3.05,,
February,4.18,2.83,1.91,5.29,3.51,3.59,4.31,4.53,3.78,3.57,6.14,4.04,3.24,3.38,7.34,3.9,5.42,2.46,,
March,1.27,2.93,3.81,6.28,1.91,3.8,3.97,3.91,5,3.89,2.43,1.76,4.08,4.41,4.54,1.95,2.44,3.44,,
April,2.8,2.37,2.29,2.36,3.36,2.06,2.87,2.49,2.48,2.85,2.52,2.17,3.4,5.95,2.9,3.84,4.52,3.76,,
May,3.48,1.65,4.16,2.69,2.05,1.08,2.7,4.52,2.26,1.91,2.73,1.04,1.36,3.2,2.45,1.83,6.66,3.85,,
June,4.12,2.87,1.05,0.89,1.04,2.12,0.89,4.61,2.79,2.05,4.13,2.07,5.39,3.16,1.38,1.13,1.9,3.02,,
July,2.34,1.89,3.45,4.61,3.19,2.52,2.77,2.76,3.46,5.74,3.62,2.23,5.32,1.92,3.57,4.53,2.29,1.89,,
August,4.9,4.5,2.24,6.56,4.51,4.88,5.53,5.27,6.74,4.1,6.87,2.92,4.88,1.75,3.03,3.15,3.34,5.72,,
September,3.12,3.22,3.68,2.51,3.8,3.53,1.98,1.43,6.52,2.37,0.89,2.34,2.36,4.34,2.26,2.48,2.2,3.02,,
October,5.96,4.73,3.47,7.83,3.06,3.74,4.64,5.24,0.83,6.57,2.28,2.97,3.57,2.68,2.1,2.85,7.16,6.66,,
November,6.2,6.12,4.69,3.78,5.6,4.51,4.88,4.41,3.99,4,4.31,5.52,5.46,6.51,7.09,3.46,5.46,7.4,,
December,5.9,5.9,3.87,3.78,4,3.9,5.11,5.22,4.88,4.84,2.62,7.4,6.68,5.42,7.19,7.79,4.92,4.98,,
Total,49.12,42.55,39.25,52.75,41.25,39.45,46.62,47.22,46.2,47.35,44.06,36.14,48.94,47.82,47.11,41.61,50.41,49.25,,
,,,,,,,,,,,,,,,,,,,,
Home of the Stewart family until 1934. Observers.,,,,,,,,,,,,,,,,,,,,
