PEN-Y-PARC,,,,,,,,,,,,,,,,,,,,
Grid ref,SH590749,Long,-4.1148905,Lat,53.252324,Elevation,372,ft,,,,,,,,,,,,
Station no,4401/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,3.85,3.01,4.73,3.78,6.07,6.89,2.61,1.12,,,,,,,,,
February,,,,0.59,5.43,2.52,5.48,1.33,4.86,3.24,3.82,,,,,,,,,
March,,,,2.32,1.16,2.69,1.85,2.63,3.57,2.55,3.96,,,,,,,,,
April,,,,1.86,2.7,1.1,3.22,0.63,2.18,1.8,2.21,,,,,,,,,
May,,,,5.32,1.97,2.26,1.08,2.55,0.66,2.48,2.57,,,,,,,,,
June,,,,2.33,6.21,3.61,2.23,5.53,2,0.95,0.59,,,,,,,,,
July,,,,0.88,0.66,5.25,1.87,6.49,5.49,4.59,1.85,,,,,,,,,
August,,,,3.6,2.74,2.29,1.35,3.7,2.41,1,4.36,,,,,,,,,
September,,,,4.51,7.55,3.5,4.83,1.92,1.4,4.89,1.13,,,,,,,,,
October,,,,6.19,7.84,3.32,5.46,9.85,2.76,5.06,5.68,,,,,,,,,
November,,,1.59,2.37,5.49,5.09,1.58,5.49,8.1,6.96,2.09,,,,,,,,,
December,,,1.32,6.66,2.02,6.78,3.07,4.68,4.23,4.4,2.58,,,,,,,,,
Total,,,,40.48,46.78,43.14,35.8,50.87,44.55,40.53,31.96,,,,,,,,,
