"IRONGRAY DRUM PARK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1026,,,,,,,,,,,
,MISFILED,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,-999.00,,,,,,,,,
February,,,-999.00,,,,,,,,,
March,,,-999.00,,,,,,,,,
April,,,-999.00,,,,,,,,,
May,,,-999.00,,,,,,,,,
June,,,-999.00,,,,,,,,,
July,,,-999.00,,,,,,,,,
August,,,-999.00,,,,,,,,,
September,,,-999.00,,,,,,,,,
October,,,-999.00,,,,,,,,,
November,,,-999.00,,,,,,,,,
December,,,-999.00,,,,,,,,,
Total,,,-999.00,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,-999.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
