BRADFORD-DOE-PARK-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE077341,Long,-1.884567,Lat,53.803143,Elevation,811,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,
January,,,,,,,1.46,6.5,5.04,1.35,0.36,0.49,5.18,7.14,7.34,2.58,7.15,2.31,2.01,2.02,6.35,3.1,3.47,1.11,5.56,4.44,1.76,2.64,4.27,7.59,5.09,3.44,2.58,4.33,4.07,1.86,7.66,1.92,3.77,2.85,6.22,1.14,4.27,5,3.11,6.53,4.19,2.76,3.31,5.96,4.62,7.68,4.8,3.6,3.25,5.71,5.17,3.8,10.1,2.2,6.2,3.88,4.29,2.61,3.95,2.09,5.92,5.33,6.31,6.86,2.8,3.15,3.74,5.81,6.82,4.1,4.64,3.72,10.21,2.22,2.77,4.42,4.77,1.08,3.23,2.5,6.12,3.55,3.94,3.52,5.98,,,,,,,,,
February,,,,,,,5.63,4.59,1.92,3.65,3.95,5.52,3.45,3.18,3.94,4.03,0.8,0.82,0.68,2.74,0.75,0.25,3.28,6,8.29,0.23,1.83,4.18,4.29,2.89,4.48,1.89,1.58,4.84,4.24,2.39,2.88,3.23,3.57,3.12,4.7,3.69,2.56,1.66,3.83,5.42,5.96,0.78,6.72,1.72,3.7,0.24,5.25,7.65,1.32,7.81,3.9,2.02,5.6,0.78,1.38,4.65,0.4,4.35,0.33,6.68,3.24,7.47,1.98,4.86,2.2,5.03,1.55,2.88,2.08,4.78,6.27,3.55,3.71,3.1,6.88,4.14,1.36,2.56,4.01,2.85,1.76,3.15,6.29,0.36,3.74,,,,,,,,,
March,,,,,,,5.15,4.14,2.46,2.49,3.52,5.28,5,1.39,2.89,2.6,4.81,2.37,4.29,2.72,3.6,2.18,1.27,1.19,4.45,3.48,6.02,6.73,1.61,2.56,0.91,4.23,2.21,6.09,1.94,4.32,3.72,3.51,4.49,2.53,0.8,1.76,5.39,5.68,4.56,0.83,4.59,3.36,2.13,5.43,3.45,3.39,3.39,2.68,1.52,1.62,2.22,4.26,3.53,0.56,3.34,0.48,2.3,2.67,3.65,2.26,3.05,3.63,0.9,3.28,3.07,4.86,3.14,1.3,0.3,1.09,1.67,7.57,1.81,1.03,2.15,4.9,2.63,2.02,2.76,3.28,1.95,3.09,2.37,1.81,2.33,,,,,,,,,
April,,,,,,,3.08,3.9,2.24,3.49,2.12,1.59,3.57,3.42,1.74,2.36,3.25,1.27,3.28,3.89,1.53,2.62,1.7,0.85,2.31,2.79,2.44,3.2,3.53,2.82,2.24,1.97,1.82,2.2,1.76,2.6,1.89,3,3.22,3.64,3.38,1.33,0.89,4.12,1.92,1.72,2.73,1.93,0.93,2.02,5.39,1.22,3.45,3,2.65,3.9,1.9,3.22,1.18,1.46,3.9,3.95,4.21,1.73,3.02,5.6,2.02,2.87,0.46,1.72,3.52,2.9,2.31,2.28,3.26,2.51,1.65,4.09,2.87,4.21,3.94,2.08,2.52,3.38,0.49,1.22,3.44,0.38,1.18,4.21,2.52,,,,,,,,,
May,,,,,,,1.07,2.79,5.49,1.41,2.61,2.67,1.59,1.02,2.49,3.17,5.36,2.09,1.33,2.43,3.61,2.83,2.91,2.11,2.03,0.73,0.71,1.47,2.88,3.04,1.55,1.38,2.55,4.46,2.81,0.87,4.12,3.39,3.04,2.58,2.5,0.87,3.17,3.28,1.45,1.99,2.54,2.08,4.05,2.71,5.35,1.71,1.15,4.63,5.21,4.89,4.02,1.23,1.84,2.26,1.56,4.34,4.85,3.04,2.61,0.94,1.5,3.13,4.31,1.31,0.65,2.83,4.69,2.94,2.19,3.83,2.04,4.12,1.31,2.63,2.61,4.84,2.36,1.95,3.31,3.18,1.32,1.72,5.25,1.76,2.08,,,,,,,,,
June,,,,,,,2.9,1.26,3.32,6.13,3.06,2.4,5.01,3.42,1.26,3.88,1.66,0.22,2.71,0.85,3.79,1.55,3.92,2.27,3.76,2.58,4.63,4.47,2.85,1.76,3.42,0.77,1.82,1.32,1.1,2.79,1.79,6.45,2.28,2.59,2.31,2.28,6.58,1.93,2.56,0.59,1.97,2.07,1.49,1.21,2.19,0.1,1.81,0.96,2.73,0.07,2.6,3.64,5.78,1.13,2.14,5.95,0.75,2.39,2.54,3.92,4.61,2.93,4.45,2.95,0.47,0.53,1.37,3.34,2.57,3.13,2.89,2.93,4.21,0.6,0.98,1.13,2.59,3.78,1.98,2.5,5.23,2.01,5.31,2.86,1.27,,,,,,,,,
July,,,,,,,2.68,4.77,1.28,5.08,5.72,5.25,4.31,3.69,5.03,1.31,4.86,1.76,6.96,3.08,2.37,2.41,2.76,2.86,3.81,6.53,2.05,1.38,1.15,1.36,2.28,1.61,3.1,5.61,1.04,1.77,2.92,2.68,4.57,3.79,3.47,0.3,5.75,0.88,3.03,5.05,2.12,1.64,4.86,2.76,6.78,2.62,5.06,3.65,4.36,1.15,2.91,3.12,1.03,2.15,6.15,,4.19,2.46,2.06,1.32,4.57,3.03,4.45,5.8,3.05,1.47,2.85,2.17,4.31,1.99,3.98,2.01,1.01,3.87,3.96,2.85,1.54,4.27,3.12,0.74,5.22,4.03,4.21,2.66,4.94,,,,,,,,,
August,,,,,,,2.83,5.53,7.27,4.67,1.78,5.05,2.14,2.17,1.29,1.49,1.52,1.72,3.89,4.5,5.76,4.87,3.36,2.54,3.93,5.26,1.92,3.91,4.57,1.59,6.22,1.34,4.78,4.47,3.81,5.23,5.95,3.13,3.32,2.95,5.8,1.93,6.34,1.28,2.4,6.46,2.58,6.28,2.03,2.98,1.76,4.96,5.88,4.54,4.48,4.32,3.42,7.04,3.98,2.7,5.67,4.87,1.8,0.87,2.7,1.67,2.69,2.22,5.23,2.83,1.14,6.09,4.04,4.52,3.25,5.32,6.54,0.46,4.05,4.74,5.91,4.63,5.08,3.81,8.58,1,8.71,5.44,3.93,0.98,4.74,,,,,,,,,
September,,,,,,,4.51,4.03,5.01,2.21,4.02,3.1,1.96,8.36,2.6,4.91,2.98,4.93,1.25,1.76,2.15,3.06,2.53,2.99,0.62,1.84,6.88,4.12,0.85,6.95,0.86,1.24,1.42,5.45,0.44,1.92,0.96,0.83,3.3,3.05,0.2,2.96,1.88,1.75,2.21,0.63,1.99,1.46,10.04,1.82,1.69,1.68,4.97,4.62,4.39,3.29,2.78,4.85,0.59,0.98,5.62,4.21,4.65,2.15,2.06,6.7,4.6,1.56,1.84,1.55,3.69,0.48,2.49,4.83,6.14,2.33,7.58,2.17,1.89,1.04,5.88,2.54,4.33,3.65,4.58,1.8,4.7,4.76,3.88,0.23,3.03,,,,,,,,,
October,,,,,,,3.18,6.2,4.96,2.32,4.38,5.41,5.4,5.66,2.51,6.76,5.84,3.01,1.52,5.04,2.55,4.87,8.46,3.75,7.18,4.31,5.85,1.86,6.18,2.25,3.58,2.37,4.46,11.66,1.37,3.91,7.33,5.54,2.76,3.34,2.78,3.1,4.76,2.4,2.45,2,8.42,7.86,2.31,2.49,2.57,2.65,0.94,4.65,4.43,5.5,3.9,4.62,6.6,4.78,4.93,,6.37,5.85,4.18,9.32,4.34,3.06,9.89,3.48,4.8,4.56,5.25,2.36,4.61,6.68,1.32,1.17,1.49,4.38,2.63,1.67,5.12,2.47,7.48,3.05,1.96,4.83,3.54,5.28,6.73,,,,,,,,,
