"BRADFORD DOE PARK",,,,,,,,,,,,
Grid ref,SE075341,Long,-1.887604,Lat,53.803146,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.02,4.09,3.07,4.95,4.59,2.28,8.63,2.31,4.24,3.34,,
February,5.26,2.33,1.85,5.44,4.72,2.85,3.43,3.64,4.13,3.48,,
March,1.15,4.76,2.57,6.79,2.06,4.96,4.31,4.04,4.97,2.73,,
April,2.71,2.38,2.16,2.53,2.06,3.07,2.27,3.62,3.53,4.12,,
May,1.81,1.72,3.18,4.89,3.09,1.00,4.69,4.22,3.57,2.87,,
June,4.06,1.06,2.23,1.55,1.25,3.06,2.17,7.47,2.39,3.00,,
July,2.70,1.89,3.75,6.12,1.26,2.05,3.33,3.02,5.49,4.46,,
August,6.86,1.69,5.43,4.98,4.19,5.82,6.65,3.77,3.65,3.20,,
September,1.18,1.54,1.82,5.80,0.51,2.32,1.16,1.03,3.75,3.21,,
October,4.29,2.87,5.30,12.51,1.58,4.35,8.33,6.70,3.10,3.68,,
November,5.10,6.93,2.89,1.85,3.71,6.25,5.56,3.83,3.76,1.78,,
December,6.65,7.11,4.91,2.14,3.41,1.58,5.29,6.65,3.42,6.48,,
Total,47.79,38.37,39.16,59.55,32.43,39.59,55.82,50.30,46.00,42.35,,
Calc annual,47.79,38.37,39.16,59.55,32.43,39.59,55.82,50.30,46.00,42.35,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
