BRADFORD-DOE-PARK-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE077341,Long,-1.884567,Lat,53.803143,Elevation,810,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,6.55,3.33,4.28,4.14,4.65,2.16,6.5,6.46,4.46,6.5,1.53,6.58,5.22,1.36,0.4,0.49,5.3,7.44,7.44,2.54,7.41,2.49,2.26,2.19,6.85,4.02,4.42,1.34,6.64,4.81,2.18,2.86,4.73,8.7,6.02,4.09,3.07,4.95,4.59,2.28,8.63,2.31,4.24,3.34,6.57,1.62,6.16,5.45,3.98,6.79,4.46,3.07,3.74,6.02,5.16,8.47,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,7.48,5.02,6.57,7.97,2.73,4.46,3.52,0.97,1.7,1.83,5.64,4.55,1.92,3.75,4.16,5.82,3.55,3.44,4.24,4.11,0.84,0.93,0.71,2.92,0.79,0.29,3.93,6.93,9.09,0.27,2.04,4.35,4.84,3.24,5.26,2.33,1.85,5.44,4.72,2.85,3.43,3.64,4.13,3.48,5.21,5.59,2.72,1.94,4.02,5.74,6.25,0.87,7.12,1.74,4.47,0.27,5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.08,2.56,5.35,1.51,1.96,2.17,3.54,3.98,4.59,1.01,5.62,4.19,2.5,2.48,3.68,5.58,5.23,1.41,3.21,2.7,4.96,2.61,4.5,2.83,3.94,2.6,1.41,1.51,4.77,4,7,7.39,1.87,2.97,1.15,4.76,2.57,6.79,2.06,4.96,4.31,4.04,4.97,2.73,0.89,2.39,5.93,6.08,5.19,0.95,4.93,3.63,2.32,5.47,3.75,3.45,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.36,1.35,5.19,2.13,2.47,1.28,4.3,4.43,0.37,2.06,1.29,3.11,3.98,2.27,3.47,2.3,1.7,3.94,3.5,1.78,2.45,3.48,1.4,3.64,4.17,1.64,2.81,1.92,0.97,2.64,3.26,2.83,3.57,3.92,3.32,2.71,2.38,2.16,2.53,2.06,3.07,2.27,3.62,3.53,4.12,3.68,2.08,1.05,4.36,2.09,1.79,3.01,2.12,1.09,2.12,5.74,1.44,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.57,1.18,3.58,1.4,5.86,2.03,2.11,2.25,2.56,1.71,2.16,1.09,2.86,5.59,1.49,2.72,2.81,1.65,1.08,2.54,3.28,5.55,2.3,1.49,2.55,3.91,3.32,3.55,2.42,2.5,0.86,0.84,1.64,3.39,3.48,1.81,1.72,3.18,4.89,3.09,1,4.69,4.22,3.57,2.87,2.84,1.24,3.49,3.57,1.63,2.14,2.74,2.21,4.32,2.68,5.63,1.82,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.85,4.3,2.36,0.28,0.7,1.96,3.42,6.18,1.49,1.63,4.01,2.9,1.28,3.41,6.24,3.31,2.54,5.05,3.48,1.32,4.02,1.72,0.23,2.84,0.83,3.95,1.76,4.42,2.9,4.21,2.97,5.03,4.94,3.19,1.94,4.06,1.06,2.23,1.55,1.25,3.06,2.17,7.47,2.39,3,2.58,4.07,7.13,2.04,2.7,0.62,2.14,2.27,1.68,1.19,2.29,0.14,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,1.68,5.37,4.41,0.41,0.75,0.4,3.65,3.24,3.21,3.65,5.5,2.57,4.87,1.32,5.39,6.02,5.46,4.47,3.84,5.15,1.47,5.09,1.98,7.64,3.21,2.54,2.96,3.07,3.43,4.39,7.37,2.39,1.58,1.19,1.66,2.7,1.89,3.75,6.12,1.26,2.05,3.33,3.02,5.49,4.46,3.93,0.36,6,0.95,3.19,5.28,2.3,1.75,5.14,2.7,7.13,2.56,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,5.24,4.52,2.12,4.04,1.93,1.82,1.87,4.19,4,5.06,3.32,2.92,5.54,7.18,4.75,1.88,5.25,2.24,2.21,1.33,1.64,1.61,1.84,4.21,4.73,6.29,5.47,4.14,2.92,4.65,6.03,2.23,4.56,5.1,1.85,6.86,1.69,5.43,4.98,4.19,5.82,6.65,3.77,3.65,3.2,6.31,2.53,6.98,1.33,2.48,6.74,2.67,6.62,2.26,3.03,1.92,5.16,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0.39,7.76,2.98,3.83,7.1,2.4,4.78,6.98,2.16,4.52,5.01,4.62,4,5.15,2.25,4.22,3.03,2.07,8.51,2.41,5.63,3.04,5.25,1.33,1.85,2.28,3.4,3.09,3.68,0.75,2.13,7.75,4.83,0.97,7.68,1.18,1.54,1.82,5.8,0.51,2.32,1.16,1.03,3.75,3.21,0.2,3.62,2.03,1.83,2.42,0.67,2.15,1.61,10.6,1.96,1.78,1.73,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,5.89,2.93,3.09,4.82,2.56,11.66,3.59,6.35,5.29,5.44,5.46,3.17,6.42,5.13,2.45,4.61,5.53,5.64,5.91,2.62,6.9,6.19,3.36,1.68,5.47,2.88,5.97,9.33,4.31,7.73,4.98,6.47,2.3,6.84,2.68,4.29,2.87,5.3,12.51,1.58,4.35,8.33,6.7,3.1,3.68,4,4.94,5.03,2.69,2.61,2.14,8.74,8.28,2.62,2.51,2.61,2.73,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
