"BRADFORD (DOE PARK RESERVOIR)",,,,,,,,,,,,
Grid ref,SE077341,Long,-1.884567,Lat,53.803143,,,,,,,
Station no,3272,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.42,4.77,1.08,3.23,2.50,6.12,3.55,3.94,3.52,5.98,,
February,4.14,1.36,2.56,4.01,2.85,1.76,3.15,6.29,0.36,3.74,,
March,4.90,2.63,2.02,2.76,3.28,1.95,3.09,2.37,1.81,2.33,,
April,2.08,2.52,3.38,0.49,1.22,3.44,0.38,1.18,4.21,2.52,,
May,4.84,2.36,1.95,3.31,3.18,1.32,1.72,5.25,1.76,2.08,,
June,1.13,2.59,3.78,1.98,2.50,5.23,2.01,5.31,2.86,1.27,,
July,2.85,1.54,4.27,3.12,0.74,5.22,4.03,4.21,2.66,4.94,,
August,4.63,5.08,3.81,8.58,1.00,8.71,5.44,3.93,0.98,4.74,,
September,2.54,4.33,3.65,4.58,1.80,4.70,4.76,3.88,0.23,3.03,,
October,1.67,5.12,2.47,7.48,3.05,1.96,4.83,3.54,5.28,6.73,,
November,9.41,1.87,5.23,6.95,3.03,1.19,2.71,1.03,4.62,7.77,,
December,7.68,4.12,2.27,5.66,5.78,4.97,4.30,5.66,9.19,5.97,,
Total,50.29,38.29,36.47,52.15,30.93,46.57,39.97,46.59,37.48,51.10,,
Calc annual,50.29,38.29,36.47,52.15,30.93,46.57,39.97,46.59,37.48,51.10,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
