RAYNE-STANEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL726226,Long,0.506,Lat,51.8755,Elevation,247,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,2.54,1.67,2.52,1.19,3.15,1.67,1.75,1.83,1.21,1.58,1.46,2.69,3.86,4.04,2.94,4.61,1.12,1.59,2.46,4.93,1.52,1.37,1.22,2.21,3.36,1.21,1.37,1.77,2.08,0.92,1.26,2.14,3.67,1.32,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,3.09,0.71,2.15,2.19,3.46,1.29,0.53,0.48,2.32,0.28,1.65,0.17,2.49,1.96,3.1,0.39,0.65,1.29,1.99,0.92,0.93,0.8,1.38,1.99,1.6,1.46,1.28,3.17,5.1,0.64,1.23,2.57,1.94,0.77,2.54,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,1.56,0.77,1.02,0.07,1.85,2.48,0.04,1.34,0.2,1.3,1.93,1.99,0.39,0.84,2.62,0.36,1.48,2.75,3.2,2.07,0.34,0.23,0.82,0.86,4.22,0.96,0.83,0.64,2.67,3.36,0.32,2.21,1.41,0.79,1.29,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,1.52,2.73,1.39,3.45,2.23,0.92,1.96,2.34,2.94,1.64,1.35,1.91,2.79,1.39,2.88,0.28,3.01,1.28,1.36,1.08,0.89,1.52,1.13,0.85,1.82,1.77,1.32,1.75,2.7,0.88,2.17,0.28,0.18,1.33,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,1.33,4.48,2.36,1.01,0.92,1.81,1.38,2.22,2.65,4.97,1.26,0.5,1.29,1.62,2.27,1.83,1.06,1.34,1.16,1.62,1.67,0.84,2.69,1.83,0.58,1.76,2,1.51,2.3,0.64,1.34,1.95,4.19,0.55,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,0.46,3.32,0.39,3.05,3.36,2.86,0.4,1.17,1.11,0.8,1.83,1.53,3.29,3.03,2.21,0.53,1.74,0.24,0.53,0.19,2.77,2.08,1.39,2.68,3.42,2.33,0.44,1.84,0.99,1.06,2.18,2.09,3.39,1.89,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,1.09,3.33,2.42,2.52,2.73,1.51,1.56,2.14,3.75,2.4,1.4,2.53,0.64,4.62,1.73,1.68,2.63,3.32,2.71,2.27,1.8,3.11,1.45,2.91,4,1,1.75,2.15,1.44,0.6,3.45,2.2,0.56,3.57,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,1.54,2.03,2.82,1.08,3.31,2.08,1.3,2.8,2.75,0.92,0.31,1.83,1.65,0.54,0.68,1.3,3.02,0.1,3.46,1.58,1.33,1.96,1.66,3.41,0.52,4.64,1.22,1.32,2.26,2.01,1.39,2.71,1.35,4.42,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,1.89,2.81,2.03,0.82,4.3,0.52,0.68,4.28,1.73,1.43,1.84,1.48,3,2.37,1.56,2.5,1.2,0.5,0.39,1.89,1.69,2.78,2.05,2.52,1.54,1.24,0.81,2.92,4.19,2.27,1.9,1.18,2.01,2.48,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,4.63,3.86,2.72,2.17,1.72,3.34,2.82,1.12,0.42,4.97,1.58,1.42,3.15,1.75,1.36,2.93,5.8,1.85,2.48,4.14,1.68,3.33,1.84,1.22,0.16,2.01,5.01,0.32,0.55,1.96,3,1.54,4.49,2.62,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
