"ROY BRIDGE, BRAE LOCHABER",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8466,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,3.92,0.77,6.56,,,,,,,,,
February,7.47,2.80,4.74,,,,,,,,,
March,3.36,4.55,7.78,,,,,,,,,
April,4.20,0.95,3.19,,,,,,,,,
May,1.89,3.23,3.11,,,,,,,,,
June,3.29,3.39,3.85,,,,,,,,,
July,3.16,6.06,4.34,,,,,,,,,
August,1.14,3.26,3.82,,,,,,,,,
September,3.96,1.64,3.45,,,,,,,,,
October,1.96,3.76,3.15,,,,,,,,,
November,8.70,10.92,,,,,,,,,,
December,4.76,8.11,,,,,,,,,,
Total,47.81,49.44,,,,,,,,,,
Calc annual,47.81,49.44,43.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
