ROY BRIDGE THE HALL LOCHABER,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 26980 81376,Long,-4.841898,Lat,56.891369,Elevation,306,ft,,,,,,,,,,,,
Station no,RR8466,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,5.24,9.71,5.17,1.41,3.92,0.77,6.56,,,,,,,
February,,,,,,,4.34,8.7,2.64,2.27,7.47,2.8,4.74,,,,,,,
March,,,,,,,6.49,3.2,4.52,5.67,3.36,4.55,7.78,,,,,,,
April,,,,,,,2.14,1.73,1.22,0.99,4.2,0.95,3.19,,,,,,,
May,,,,,,,1.47,3.02,4.52,2.89,1.89,3.23,3.11,,,,,,,
June,,,,,,,4.46,7.84,1.78,3.88,3.29,3.39,3.85,,,,,,,
July,,,,,,,3.28,4.83,0.86,6.75,3.16,6.06,4.34,,,,,,,
August,,,,,,,4.04,4.9,5.03,4.2,1.14,3.26,3.82,,,,,,,
September,,,,,,3.61,3.37,3.56,8.84,6.42,3.96,1.64,3.45,,,,,,,
October,,,,,,4.79,6.57,9.07,6.86,2.95,1.96,3.76,3.15,,,,,,,
November,,,,,,4.07,2.46,12.98,3.67,2.47,8.7,10.92,,,,,,,,
December,,,,,,7.35,3.39,9.29,2.26,4.83,4.76,8.11,,,,,,,,
Total,,,,,,,47.25,78.83,47.37,44.73,47.81,49.44,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8466,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
