QUEEN-CAMEL-ENGLANDS-SIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST594248,Long,-2.58023,Lat,51.02141,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2070/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.2,0.69,3.7,5.22,2.61,5.37,2.24,2.82,4.04,6.04,1.96,2.26,2.79,2.55,5.03,0.56,0.47,2.92,2.43,0.98,1.56,2.99,3.62,2.07,2.57,4.2,3.05
February,,,,0.14,2.86,2.44,5.03,0.75,1.47,2.75,3.3,0.28,1.76,0.64,1.71,1.89,1.31,1.62,1.14,5.02,4.78,0.93,1.68,2.67,1.66,0.09,3.55,3.12,0.27,2.73
March,,,,2.42,0.82,3.4,3.59,0.26,1.02,1.97,2.93,1.95,0.78,0.31,0.96,0.84,5.46,0.57,1.54,0.8,3.22,2.83,0.58,3.72,1.12,0.75,1.81,0.62,3.49,2.01
April,,,,2.39,3.96,1.81,2.57,0.07,2.16,2.13,1.68,1.69,0.77,1.35,0.75,3.14,2.15,1.62,1.55,2.44,2.94,2.14,2.93,0.21,1.24,1.87,0.25,0.68,2.12,2.19
May,,,,0.99,1.26,0.74,2.27,2.2,0.55,3.16,1.26,5.16,2.09,1.23,2.91,4.33,1.93,3.95,2.23,1.56,3.57,2.89,1.87,1.84,3.97,0.46,1.63,2.13,1.66,1.73
June,,,,1.35,2.86,2.62,1.09,1.74,2.86,0.71,1.55,0.61,1.85,1.87,3.15,3.35,1.63,2.56,0.38,2.09,1.8,3.12,2.69,2.99,2.53,1.83,1.01,4.21,0.74,1.63
July,,,,0.43,0.51,6.16,3.33,2.95,4.41,2.98,2.29,1.76,2.93,2.54,2.11,1.09,2.18,1.83,1.8,3.31,1.47,1.2,3.83,3.07,1.07,2.65,3.17,1.86,2.17,4.24
August,,,,2.99,2.16,0.08,1.57,2.11,3.93,0.14,3.61,4.53,3.71,2.92,2.22,4.39,0.91,2.9,1.79,3.84,5.06,5.85,2.93,3.29,0.87,4.39,2.39,3.32,1.1,5.19
September,,,,3.14,3.2,3.6,2.85,1.67,0.86,1.63,0.92,2.16,2.63,1.81,2.75,4.53,1.2,1.96,2.72,3.41,3.1,3.6,3.05,2.5,1.25,4.12,3.44,4.58,0.16,
October,,,,2.6,3.5,1.57,3.5,2.61,3.63,3.88,1.46,3.4,3.75,4.85,3.87,1.02,0.77,2.55,7.91,1.3,0.91,3.33,2.26,2.43,1.65,1.98,2.47,2.02,3.19,
November,,,,1.32,6.39,2.94,1.6,3.83,5.42,6.79,1.8,1.51,2.14,5.59,0.77,5.15,1.65,1.58,4.01,5.73,7.64,4.18,1.46,6.01,2.82,0.98,2.38,2.97,4.22,
December,,,,7.03,4.46,3.43,3.06,3.84,2.28,3.62,1.53,4.04,2.25,2.9,3.58,3.65,2.46,4.89,1.53,2.18,2.58,2.83,0.73,3.15,4.49,3.71,2.67,3.4,6.45,
Total,,,,27,32.67,32.49,35.68,24.64,33.96,32,25.15,31.13,30.7,27.97,27.04,36.17,24.2,31.06,27.16,32.15,39.99,35.33,24.99,33.44,25.66,26.45,26.84,31.48,29.77,
