WATERFOOT CRAGG HOLES RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD846196,Long,-2.2345811,Lat,53.672642,Elevation,1325,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2910/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,4.72,2.27,6.85,5,7.2,8.95,3.05,2.76,9.47,8.29,7.13,4.59,6.8,5.48,13.04,3.76,4.43,6.39,,,5.11,4.17,,7.11,6.25,4.43,8.71
February,,,,0.62,7.31,3.43,7.42,2.65,6.88,3.2,7.02,3,3.94,2.53,6.9,6.65,3.72,4.41,4.55,7.31,4.78,,,,4.11,,5.27,10.17,0.94,7.57
March,,,,3.93,1.85,4.03,3.59,1.75,3.46,3.89,5.07,5.01,1.68,0.87,1.82,1.77,9.2,2.26,2.98,3.58,6.79,,,3.12,2.67,,6.19,3.46,3.59,1.94
April,,,,3.55,4.93,1.76,4.23,0.8,2.41,4.29,3.05,2.8,3.22,4.46,3.01,1.92,4.8,2.43,4.99,4.44,3.39,,,0.93,3.38,,0.8,2.13,4.33,3.59
May,,,,4.37,1.63,0.92,2.58,4.9,2.21,1.25,3.54,4.71,4.37,3.64,5.26,1.55,2.59,2.75,3.75,2.54,2.35,,,3.75,4.9,,2.61,6.89,2.23,2.71
June,,,,3.62,5.27,5.37,2.81,5.8,4.57,0.93,0.69,1.13,4.76,3.56,6.31,4.86,3.44,6.36,0.68,3.05,1.49,,,4.54,4.91,,2.58,6.01,5.11,1.63
July,,,,2.77,2.44,6.02,3.26,5.68,9.17,4.64,5.48,6.28,3.93,4.66,3.92,4.49,4.22,3.45,2.33,7.18,4.04,,7.14,6.86,1.62,,7.17,5.17,4.71,9.34
August,,,,4.57,2.51,4.32,3.84,5.22,3.68,2.66,8.25,6.78,8.81,3.96,4.43,9.22,0.26,6.21,4.89,8.35,6.55,,6.04,8.89,1.43,,7.84,4.3,0.93,6.66
September,,,,5.05,10.6,6.11,2.63,3.2,1.81,5.82,1.15,3.48,6.47,7.48,3.64,9.62,4.05,4.24,2.34,10.3,4.67,,5.32,6.19,4.19,,7.95,7.38,0.52,4.36
October,,,,6.74,9.89,5.6,3.13,13.22,3.19,6.49,6.03,7.45,4.25,6.93,7.5,1.75,1.22,3.58,6.83,3.52,1.11,,3.1,11.8,2.9,,8.76,6.15,6.56,7.09
November,,,,3.03,6.56,6.64,2.33,8.54,8.75,10.34,4.26,1.45,3.99,9.99,0.67,10.25,7.75,2.83,8.39,7.51,11.14,,6.78,8.82,3.47,,2.54,2.7,6.59,9.91
December,,,,9.76,5.32,6.88,5.41,7.21,4.75,5.98,3.35,5.51,3.11,6.61,4.62,5.43,4.69,5.63,9.13,3.09,10.95,,2.59,8.87,7.01,,5.89,5.63,11.35,6.01
Total,,,,52.73,60.58,57.93,46.23,66.17,59.83,52.54,50.65,57.07,56.82,61.82,52.67,64.31,51.42,57.19,54.62,65.3,63.65,,,,44.76,,64.71,66.24,51.29,69.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR and elevation verified to OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915 to 1933 original gauge readings rejected. Annual totals at least 4 inches too low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omitted estimated amount for February 1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
