BUILTH-VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SO036506,Long,-3.4101866,Lat,52.145247,Elevation,520,ft.,,,,,,,,,,,,
Station no,RR6218,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,6.48,3.89,4.92,2.44,1.47,1.5,8.03,,,,,,,,,
February,,,,7.33,5.93,5.8,1.02,1.33,0.97,3.11,1.12,,,,,,,,,
March,,,,1.44,3.19,1.43,4.08,2.06,4.2,3.15,2.27,,,,,,,,,
April,,,,1.27,1.97,2.59,2.33,2.02,1.74,4.35,0.95,,,,,,,,,
May,,,,2.12,1.54,2.79,5.03,1.59,2.17,2.92,1.71,,,,,,,,,
June,,,,4.64,,-999,2.26,0.89,2.27,0.41,,,,,,,,,,
July,,,,4.13,,-999,3.22,1.5,5.3,3,,,,,,,,,,
August,,,,1.77,1.97,2.15,1.55,-999,4.97,3.59,,,,,,,,,,
September,,,,6.03,3.44,4.43,3.17,-999,0.56,1.86,,,,,,,,,,
October,,,,4.62,2.26,4.96,6.33,-999,2.64,4.97,,,,,,,,,,
November,,,,7.19,1.65,4.59,4.11,1.84,7.89,1.86,,,,,,,,,,
December,,,,3.31,5.9,1.64,6.76,3.85,5.28,2.69,,,,,,,,,,
Total,,,,,,37.34,44.78,25.91,39.46,33.41,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is the vicarage. Altitudes match. ,,,,,,,,,,,,,,,,,,,,
500m from BUILTH-WELLS-TYN-Y-BERLLAN,,,,,,,,,,,,,,,,,,,,
1890s readings are noted at the bottom of the 1880s record,,,,,,,,,,,,,,,,,,,,
