BURY ST EDMUNDS WESTLEY HALL (old gauge overlap),,,,,,,,,,,,
Grid ref,TL824646,Long,0.670547,Lat,52.249342,Elevation ,226,ft,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,2.14,,,,,,,,,,,
February,1.02,,,,,,,,,,,
March,3.17,,,,,,,,,,,
April,0.84,,,,,,,,,,,
May,2.26,,,,,,,,,,,
June,2.3,,,,,,,,,,,
July,5.35,,,,,,,,,,,
August,2.2,,,,,,,,,,,
September,0.63,,,,,,,,,,,
October,1.85,,,,,,,,,,,
November,2.93,,,,,,,,,,,
December,0.78,,,,,,,,,,,
Total,25.47,,,,,,,,,,,
