Rainfall at,WESTLEY, BURY ST.EDMUNDS
,
Station no,1390,
,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,0.15,0.86,1.73,1.70,1.70,2.43,2.68,1.77,1.01,0.69,
February,1.56,2.64,1.58,3.24,0.46,2.15,0.23,0.68,1.63,1.46,
March,1.00,1.39,1.72,1.77,0.94,1.09,1.56,1.58,3.35,1.05,
April,2.05,1.71,3.25,1.17,0.81,1.49,1.22,1.69,1.12,2.11,
May,0.41,0.86,1.47,1.20,0.92,3.14,2.82,1.83,0.82,3.99,
June,3.09,1.30,2.32,2.09,1.16,0.87,0.69,0.26,3.08,3.06,
July,3.37,2.68,1.70,4.32,2.16,0.72,3.02,0.67,3.84,3.18,
August,1.23,4.73,2.28,1.18,1.40,1.95,1.45,2.03,2.38,3.33,
September,4.09,2.41,2.34,3.89,2.45,3.90,1.15,2.33,1.01,3.48,
October,4.52,2.65,5.19,2.74,2.32,4.75,2.83,2.28,1.07,4.35,
November,2.13,1.92,3.03,3.07,1.44,3.01,2.96,2.37,3.97,1.64,
December,2.62,3.15,3.44,1.90,2.58,0.88,3.80,1.37,1.33,1.36,
Total,26.22,26.30,30.05,28.27,18.34,26.38,24.41,18.86,24.61,29.70,
Calc annual,26.22,26.30,30.05,28.27,18.34,26.38,24.41,18.86,24.61,29.70,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
