FAREHAM-BELVOIR-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU578059,Long,-1.18017,Lat,50.84986,Elevation,20,ft,,,,,,,,,,,,
Station no,RR8491,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,1.12,1.75,3.4,0.95,6.74,1.12,0.99,0.75,2.73,,,,,,,,,
February,,,1.49,1.71,3.84,0.5,2.63,1.12,1.22,0.28,3.43,,,,,,,,,
March,,,1.86,2.32,1.18,3.92,1.15,0.54,2.37,3.63,0.76,,,,,,,,,
April,,,1.25,2.24,1.38,1.41,0.8,3.89,2.4,1.05,2.15,,,,,,,,,
May,,,2.11,2.98,3.8,0.39,1.97,3.39,1.77,1.65,1.57,,,,,,,,,
June,,,3.91,2.64,0.89,4.23,1.36,2.24,1.12,4.8,,,,,,,,,,
July,,,1.91,2.23,2.09,0.33,0.5,1.15,2.22,2.12,1.84,,,,,,,,,
August,,,3.85,3.29,2.78,2.23,1.33,1.78,2.95,1.88,1.42,,,,,,,,,
September,,,0.82,2.45,2.09,2.14,1.22,0.35,2.14,3.8,0.08,,,,,,,,,
October,,,1.98,6.72,2.48,1.39,5.46,6.9,2.36,8,4.1,,,,,,,,,
November,,,3.33,1.65,1.11,4.13,3.79,2.48,1.3,0.15,3.7,,,,,,,,,
December,,,1.3,2.16,2.96,0.58,1.99,3.38,3.52,4.57,4.19,,,,,,,,,
Total,,,24.93,32.14,28,22.2,28.94,28.34,24.36,32.68,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1910 June Marked as estimated,,,,,,,,,,,,,,,,,,,,
