"NORTHAMPTON DALLINGTON AVENUE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4407,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.62,2.37,3.66,1.23,2.17,1.14,2.71,2.72,,,,
February,0.85,0.46,2.07,4.29,0.47,2.71,2.88,3.07,,,,
March,2.50,0.85,1.97,2.38,0.79,0.53,0.67,2.12,,,,
April,5.16,1.12,3.42,2.30,2.82,2.10,2.89,,,,,
May,1.63,1.24,1.23,1.25,4.32,2.32,2.84,,,,,
June,2.36,0.43,1.05,0.62,1.87,0.03,2.16,,,,,
July,3.78,0.51,4.62,2.55,2.86,2.45,1.44,,,,,
August,0.95,2.28,5.04,1.57,2.27,1.58,1.01,,,,,
September,2.03,1.05,2.03,2.57,2.81,3.16,1.62,,,,,
October,1.16,1.17,0.88,3.89,3.51,3.00,2.19,,,,,
November,1.60,1.97,1.12,1.63,2.41,1.28,3.53,,,,,
December,2.13,1.60,2.53,2.82,3.18,2.33,0.57,,,,,
Total,26.77,15.05,29.62,27.10,29.48,22.63,24.51,,,,,
Calc annual,26.77,15.05,29.62,27.10,29.48,22.63,24.51,7.91,0.00,0.00,0.00,
Difference,-0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,NaN,NaN,NaN,NaN,
