TAXAL-BLACKHILL-GATE-NO1-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ997787,Long,-2.005963,Lat,53.305245,Elevation,1190,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/6/1/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,6.53,5.03,2.81,3.42,3.35,3.82,4.3,4.55,5.91,,,,5.57,6.95,5.2,5.3,3.35,9.35,3.15,3.15,4.8,5.5,2.64,4.28,3.2,6.6,3.05,4.35,4.8,8.25
February,4.5,0.23,4.3,0.25,5.05,3.63,5,1.65,3,,,,3.6,2.45,4.15,7.15,1.5,3.4,1.95,5.2,4.5,3.12,3.04,4.4,3,1.55,3.1,7.55,0.68,4.1
March,0.3,2.88,2.81,3,1.52,4.01,5.25,1.5,2.6,3.3,3.6,2.6,1.85,0.88,2,1.5,6.1,1.9,2.45,1.7,6.75,2.65,3.54,3.45,3.45,1.65,3.2,2,2.3,1.75
April,5.28,4.56,1.7,2.63,2.84,1.3,4.7,0.25,2.65,4.25,3,1.75,2.2,3.2,2.55,1.59,3.8,2.3,3.55,4.1,2.76,4.58,3.55,0.8,2.65,,0.47,1.5,3,2.4
May,2.7,5.64,2.53,3.08,0.5,0.37,2.3,3.65,1.6,1.35,2.85,4.9,3.65,4.05,3.8,1.57,2.75,2,3.1,0.9,1.95,2.54,2.62,3.6,4.05,1.4,1.8,4.1,0.68,2.1
June,5.72,0.88,4.53,3.67,4.83,3.47,1.75,4.4,3.35,1.3,3.05,0.9,3.65,4,4.3,4.55,2.85,6.7,2.1,3.32,1.95,3.48,4.2,4.1,3.35,3.8,1.8,6.75,1.47,2.24
July,4.68,4.77,3.47,2.83,1.33,5.82,4.35,5.1,6.45,4.45,3.35,4.15,1.45,4.05,1.9,5.85,3.75,4.25,2.4,3.2,3.7,4.35,4.97,6.5,1.3,6.07,6,6,4.07,6.95
August,6.42,2.21,1.44,3.37,2.07,2.08,2.25,2.25,2.65,2.25,7.25,4.45,4.3,4.15,3.2,6.05,0.8,6.2,2.3,4.5,5.4,2.51,4.42,4.5,0.8,10.4,6.35,4.25,0.57,4.2
September,4.35,3.5,0.57,3.62,6.14,4.85,1.35,2.45,0.8,3.65,0.85,3.55,4.7,4.7,2,5.95,2.2,2.65,1.3,6.1,2.45,4.56,3.05,5.05,2.6,3.3,9.15,4.4,0.28,3.85
October,2.3,8.08,5.61,5.95,7.42,5.21,2.4,6.05,2.95,4.4,4.7,7.3,3.35,5.7,6.95,1,1,3.1,4.1,2.9,1.32,4.57,2.5,8,3.2,2.9,4.4,4.4,2.88,5.21
November,5.99,3.3,1.9,1.6,5.93,4.96,1.5,5.2,5.35,7.13,4,1.1,3.5,7.25,0.75,6.05,4.9,2.7,6.7,5.75,10.7,2.67,2.95,7.3,2.7,2.15,2,2,4.9,5.7
December,1.68,1.42,0.37,6.75,3.83,4.37,2.85,5.44,2.5,4.75,2.8,4.23,2.35,3.65,3.5,5,4.7,4.1,6.25,4.4,6.65,4.99,2.3,6.75,4.55,5.47,5.3,4.1,7.5,4.58
Total,50.45,42.5,32.04,40.17,44.81,43.89,38,42.49,39.81,,,,40.17,51.03,40.3,51.56,37.7,48.65,39.35,45.22,52.93,45.52,39.78,58.73,34.85,,46.62,51.4,33.13,51.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11861 BLACKHILLGATE Start 1931 end 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from the 1950s records and is near Blackhillgate. Altitudes match. Gauge originally in Cheshire, Station no 2728/3/6, and became Derbyshire in 1938, no suggestion that the gauge moved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
