TAXAL-BLACKHILL-GATE-NO2-B,,,,,,,,,,
Grid ref,SJ997787,Long,-2.005963,Lat,53.305245,Elevation,1190,ft.,,
Station no,2643/6/1/4,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,3.34,3.25,3.65,4.35,4.25,,
February,,,,0.34,4.8,3.53,5.35,1.7,,
March,,,,3.04,1.54,2.91,5.25,1.5,,
April,,,,2.6,2.71,1.37,4.9,0.2,,
May,,,0.8,2.97,0.47,0.33,2.3,3.75,,
June,,,4.39,3.77,4.75,3.49,1.8,4.6,,
July,,,3.3,2.92,1.36,5.87,4.5,5.35,,
August,,,1.4,3.39,2.01,1.96,2.3,2.35,,
September,,,0.56,3.65,5.99,4.78,1.35,2.45,,
October,,,5.62,5.9,7.14,5.06,2.45,6.2,,
November,,,1.97,1.69,5.66,5.03,1.6,,,
December,,,0.4,6.8,6.66,4.26,2.8,5.21,,
Total,,,,40.41,46.34,42.24,38.95,,,
,,,,,,,,,,
MIDAS src_id 11861 BLACKHILLGATE Start 1931 end 1981,,,,,,,,,,
"NGR is assumed to be as the other gauge. Gauge originally Cheshire, Station No 2728/3/7. and became Derbyshire in 1938.",,,,,,,,,,
