"TAXAL (BLACKHILLGATE)",,,,,,,,,,,,
Grid ref,SJ997787,Long,-2.005963,Lat,53.305245,,,,,,,
Station no,2643/6/1/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.80,5.50,2.64,4.28,3.20,6.60,3.05,4.35,4.80,8.25,,
February,4.50,3.12,3.04,4.40,3.00,1.55,3.10,7.55,0.68,4.10,,
March,6.75,2.65,3.54,3.45,3.45,1.65,3.20,2.00,2.30,1.75,,
April,2.76,4.58,3.55,0.80,2.65,1.85,0.47,1.50,3.00,2.40,,
May,1.95,2.54,2.62,3.60,4.05,1.40,1.80,4.10,0.68,2.10,,
June,1.95,3.48,4.20,4.10,3.35,3.80,1.80,6.75,1.47,2.24,,
July,3.70,4.35,4.97,6.50,1.30,6.07,6.00,6.00,4.07,6.95,,
August,5.40,2.51,4.42,4.50,0.80,10.40,6.35,4.25,0.57,4.20,,
September,2.45,4.56,3.05,5.05,2.60,3.30,9.15,4.40,0.28,3.85,,
October,1.32,4.57,2.50,8.00,3.20,2.90,4.40,4.40,2.88,5.21,,
November,10.70,2.67,2.95,7.30,2.70,2.15,2.00,2.00,4.90,5.70,,
December,6.65,4.99,2.30,6.75,4.55,5.47,5.30,4.10,7.50,4.58,,
Total,52.93,45.52,39.78,58.73,34.85,47.14,46.62,51.40,33.13,51.33,,
Calc annual,52.93,45.52,39.78,58.73,34.85,47.14,46.62,51.40,33.13,51.33,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
