CHURCH-LEIGH-SCHOOL-HOUSE,,,,,,,,,,
Grid ref,SK023360,Long,-1.967237,Lat,52.921411,Elevation,501,ft.,,
Station no,2364/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.64,3.24,5.76
February,,,,,,,,5.07,0.46,2.38
March,,,,,,,,1.81,1.47,2.08
April,,,,,,,,1.02,3.28,1.24
May,,,,,,,,3.05,0.76,1.86
June,,,,,,,,4.85,1.36,2.92
July,,,,,,,,4.12,,3.1
August,,,,,,,,,,4.29
September,,,,,,,,,0.19,4.97
October,,,,,,,2.06,2.86,2.28,4.87
November,,,,,,,1.79,1.79,4,4.79
December,,,,,,,2.25,3.88,4.12,3.65
Total,,,,,,,,,,41.91
,,,,,,,,,,
NGR is from the 1950s record and is near a school in Church Leigh. Altitudes match.,,,,,,,,,,
MIDAS src_id 2958 ends 1974,,,,,,,,,,
