KINGSTON-PALACE-ROAD-NO-2,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ178681,Long,-0.30800311,Lat,51.39971,Elevation,30,ft.,,,,,,,,,,,,,
Station no,RR8508,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,4.15,0.94,0.95,2.83,3.14,2,1.89,,,,,,,,,
February,,,,,,3.42,3.35,0.73,0.77,1.91,0.42,0.3,,,,,,,,,
March,,,,,4.05,0.63,4.21,1.59,0.89,2.88,1.14,1.18,,,,,,,,,
April,,,,,1.06,1.52,1.34,1.88,3.1,2.48,2.62,0.79,,,,,,,,,
May,,,,,1.17,3.1,2.22,2.64,1.88,0.35,0.62,1.43,,,,,,,,,
June,,,,,2.74,0.63,1.75,3.11,0.9,1.11,2.38,0.22,,,,,,,,,
July,,,,,2.03,4.15,1.69,4.83,5.85,2.33,4.79,0.06,,,,,,,,,
August,,,,,1.92,2.01,3.69,4.14,1.06,2.3,1.58,1.13,,,,,,,,,
September,,,,,0.82,2.38,1.57,2.04,5.67,1.46,2.44,1.68,,,,,,,,,
October,,,,,1.26,1.83,3.26,2.99,1.17,0.72,1.41,0.97,,,,,,,,,
November,,,,,2.28,2.64,4.35,1.16,2,0.97,1.35,1.7,,,,,,,,,
December,,,,,7.05,5.36,2.28,1.19,2.02,3.69,2.06,1.11,,,,,,,,,
Total,,,,,,31.82,30.65,27.25,28.14,23.34,22.81,12.46,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"NGR is the mid-point of Palace Road, which is 200m long. Altitudes match.",,,,,,,,,,,,,,,,,,,,,
