TYDD NORTH LEVEL SLUICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF467181,Long,0.172,Lat,52.741,Elevation,10,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.12,2.31,2.19,1.46,2.59,1.04,1.88,1.42,3.01,1.53,1.76,1.82,1.29,2.01,0.62,2.98,1.69,3.95,1.30,1.68,2.22,1.05,1.38,0.87,1.32,2.78,3.47,2.22,4.80,1.21,2.86,3.06,4.76,2.18,1.38,1.53,1.76,3.78,1.16,1.22,2.71,2.15,1.48,1.91,2.19,4.52,1.54,2.57,3.59,3.19
February,0.88,1.04,0.47,1.02,2.32,2.65,0.72,1.07,2.74,0.55,0.48,2.44,2.81,0.54,1.89,1.69,2.20,0.93,0.32,0.51,2.04,0.32,1.17,0.27,1.45,2.10,2.82,0.59,0.69,2.54,2.88,1.32,0.67,1.36,1.98,2.98,1.33,0.64,0.91,3.61,2.62,0.81,1.73,2.32,2.79,1.37,3.74,4.42,0.19,1.52
March,1.73,2.62,2.18,3.29,0.90,3.93,0.99,0.63,2.19,1.92,0.97,1.61,2.09,0.41,0.76,0.21,1.78,1.62,0.20,1.49,0.23,1.41,2.30,1.38,0.41,0.79,2.86,0.31,1.56,1.83,3.46,1.93,0.65,0.31,0.87,0.65,4.09,0.63,0.91,0.71,3.63,2.65,1.16,2.22,2.01,0.76,2.19,1.61,2.52,1.55
April,0.73,0.10,1.62,0.92,0.42,1.29,1.79,1.66,1.42,2.87,1.21,2.40,1.17,2.09,1.57,1.42,1.62,1.84,0.52,2.80,2.51,2.52,1.32,2.24,2.48,1.84,2.52,0.26,1.82,2.24,0.89,0.56,1.03,1.90,0.96,1.21,1.92,1.00,1.89,2.60,3.44,1.33,1.96,0.44,0.88,0.96,0.33,1.01,1.43,0.47
May,1.08,2.99,2.64,1.07,1.85,2.05,0.95,1.94,0.28,1.77,1.05,1.11,0.92,4.33,2.58,2.26,0.56,1.57,1.45,3.46,2.82,2.67,1.34,0.66,0.70,1.44,3.90,2.19,0.92,0.99,2.41,2.57,2.61,0.86,1.88,1.44,0.34,4.16,2.41,2.81,2.93,2.87,2.20,2.96,2.55,1.04,1.64,3.12,0.66,0.60
June,2.18,4.55,1.47,2.30,0.95,2.21,2.65,0.39,0.74,2.86,0.42,0.99,0.26,1.88,0.30,2.39,3.28,4.14,1.61,0.78,1.84,1.23,1.70,1.14,2.71,3.27,1.99,0.83,2.26,0.39,1.07,0.79,2.19,1.66,2.32,2.12,3.44,2.71,1.22,1.61,1.02,1.15,4.49,2.55,1.93,2.69,3.30,4.64,0.99,2.69
July,0.14,3.75,1.11,3.31,4.44,1.32,2.43,4.47,2.72,2.10,0.22,4.64,4.02,1.79,3.02,1.14,1.77,2.85,2.74,4.34,4.26,3.23,1.41,1.98,0.63,4.76,2.44,2.62,1.94,3.43,4.14,3.14,0.93,2.42,0.86,2.94,1.77,1.45,1.91,3.52,0.95,0.37,1.70,2.30,0.28,3.37,3.56,3.60,2.59,2.65
August,2.31,7.65,0.97,2.67,3.09,4.64,5.52,1.83,2.10,1.63,1.51,2.09,2.51,1.85,2.54,0.96,3.33,1.97,0.59,2.25,3.91,2.80,0.61,2.09,0.67,0.71,1.33,0.96,1.45,0.66,4.66,3.47,1.79,1.62,1.82,2.74,0.13,4.99,2.44,2.27,3.98,2.19,2.14,3.57,1.25,4.75,2.67,2.37,1.16,3.82
September,2.15,1.76,2.28,0.42,0.83,1.58,1.19,4.60,1.44,2.26,1.00,2.78,2.62,2.17,2.77,2.52,3.27,0.77,0.54,4.36,3.81,1.87,2.03,1.55,2.49,1.77,1.90,2.48,1.19,1.27,1.02,1.46,1.63,3.48,1.97,3.04,1.01,2.24,0.69,3.72,1.82,3.44,1.03,2.46,1.34,1.79,4.21,2.78,0.09,1.47
October,1.89,1.93,5.67,2.08,1.10,1.85,3.78,1.59,1.22,0.43,1.48,0.87,2.87,4.30,2.19,2.07,2.07,4.02,3.29,0.74,0.75,3.24,2.23,1.07,2.89,1.54,1.78,2.41,3.37,2.38,3.22,2.28,1.41,2.66,2.31,3.12,0.44,3.18,3.46,0.83,1.37,2.00,2.58,3.33,2.39,1.50,1.54,1.58,1.47,4.47
November,3.30,2.31,1.65,2.32,3.51,3.10,1.57,1.93,1.39,0.71,1.06,1.29,1.62,1.94,1.60,2.99,2.41,2.56,4.45,3.17,2.17,1.10,2.00,1.58,3.20,2.27,1.80,2.06,3.84,5.70,3.56,2.70,1.70,3.13,0.81,4.04,1.67,1.65,2.87,4.36,3.49,3.42,1.85,5.16,1.26,1.02,1.85,1.37,1.55,3.54
