"GOSPORT (THE ACADEMY) HAMPSHIRE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,,
January,,2.64,0.89,3.37,0.99,1.48,0.89,1.00,,,,
February,,0.18,2.06,-999.00,2.69,1.21,3.86,0.82,,,,
March,,4.18,1.82,2.10,3.77,2.50,2.62,3.15,,,,
April,,3.39,2.57,2.14,2.52,1.89,1.00,1.91,,,,
May,,3.18,1.51,1.12,4.59,3.00,2.27,2.12,,,,
June,,0.98,0.39,2.23,2.92,1.57,0.90,1.66,,,,
July,,3.65,4.28,2.75,2.91,0.18,1.60,1.11,,,,
August,,3.71,1.81,3.23,3.45,3.12,1.52,2.06,,,,
September,,3.34,1.69,1.72,3.83,2.43,4.55,3.83,,,,
October,,4.53,6.75,4.82,3.52,3.02,2.23,4.83,,,,
November,,6.02,7.50,2.22,5.30,4.72,3.64,1.83,,,,
December,,7.61,2.24,4.38,3.56,5.33,2.94,5.62,,,,
Total,,43.41,33.51,34.66,40.06,30.45,28.02,29.96,,,,
Calc annual,0.00,43.41,33.51,30.08,40.06,30.45,28.02,29.97,0.00,0.00,,
Difference,NaN,0.00,0.00,4.59,0.00,0.00,0.00,-0.00,NaN,NaN,,
