"BETLEY HALL (CREWE)",,,,,,,,,,,,
Grid ref,SJ754490,Long,-2.368320,Lat,53.037704,,,,,,,
Station no,RR4050,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.52,2.63,2.65,1.17,4.81,1.52,1.77,1.85,,
February,,,0.95,1.61,3.04,1.04,2.70,1.80,2.23,0.81,,
March,,,2.28,4.35,1.91,3.49,2.16,1.64,2.92,2.45,,
April,,,2.13,1.64,1.41,2.04,1.60,2.15,2.98,2.71,,
May,,,3.13,2.48,3.07,0.67,2.76,3.25,2.35,1.38,,
June,,,2.15,1.46,1.37,2.19,1.58,5.85,2.36,3.62,,
July,,,1.75,5.30,2.08,1.71,0.76,3.86,2.94,3.88,,
August,,,3.69,4.12,4.05,4.53,2.44,3.68,3.73,2.61,,
September,,,1.24,4.41,1.96,1.66,2.07,0.73,3.55,2.82,,
October,,2.39,3.06,6.25,1.15,2.24,5.19,3.69,1.50,5.26,,
November,,3.08,1.76,2.88,1.76,3.43,2.21,2.18,2.67,1.49,,
December,,3.70,2.48,1.40,1.94,0.56,3.20,1.80,2.14,3.88,,
Total,,,26.14,38.53,26.39,24.73,31.48,32.15,31.14,32.76,,
Calc annual,0.00,9.17,26.14,38.53,26.39,24.73,31.48,32.15,31.14,32.76,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
