CREWE-BETLEY-HALL-CREWE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ753489,Long,-2.3698039,Lat,53.036801,Elevation,270,ft.,,,,,,,,,,,,
Station no,RR4050,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,1.52,2.63,2.65,1.17,4.81,1.52,1.77,1.85,1.91,0.62,3.09,2.88,1.85,3.88,,,,
February,,,0.95,1.61,3.04,1.04,2.7,1.8,2.23,0.81,2.62,1.82,0.94,1.24,1.52,2.63,,,,
March,,,2.28,4.35,1.91,3.49,2.16,1.64,2.92,2.45,0.88,1.31,4.06,5.06,3.11,1.35,,,,
April,,,2.13,1.64,1.41,2.04,1.6,2.15,2.98,2.71,2.72,1.04,0.27,3.32,1.09,0.99,,,,
May,,,3.13,2.48,3.07,0.67,2.76,3.25,2.35,1.38,2.22,0.74,2.26,2.19,2.27,2.01,,,,
June,,,2.15,1.46,1.37,2.19,1.58,5.85,2.36,3.62,1.48,2.74,4.26,1.91,1.55,1.65,,,,
July,,,1.75,5.3,2.08,1.71,0.76,3.86,2.94,3.88,3.89,0.82,2.99,1.54,4.43,5.39,,,,
August,,,3.69,4.12,4.05,4.53,2.44,3.68,3.73,2.61,4.72,2.31,4.96,2.42,4.47,2.72,,,,
September,,,1.24,4.41,1.96,1.66,2.07,0.73,3.55,2.82,0.52,2.37,1.82,1.69,1.69,0.61,,,,
October,,2.39,3.06,6.25,1.15,2.24,5.19,3.69,1.5,5.26,2.11,2.43,2.62,2.2,1.42,1.83,,,,
November,,3.08,1.76,2.88,1.76,3.43,2.21,2.18,2.67,1.49,5.28,2.48,2.71,1.94,3.15,2.53,,,,
December,,3.7,2.48,1.4,1.94,0.56,3.2,1.8,2.14,3.88,3.7,4.74,2.11,1.58,5.93,4.91,,,,
Total,,,26.14,38.53,26.39,24.73,31.48,32.15,31.14,32.76,32.05,23.42,32.09,27.97,32.48,30.5,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Betley Hall. Altitudes match,,,,,,,,,,,,,,,,,,,,
