HEXHAM PARKEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY871757,Long,-2.2023,Lat,55.0759,Elevation,276,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,2.5,0.54,0.91,5.19,4.96,3.41,4.23,3.77,6.09,1.08,6.71,2.94,2.78,3.14,2.24,2.64,4,7.73,3.52,1.86,5.5,5.4,4.08,2.8,2.98,,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,1.21,1.65,7.3,1.1,4.34,1.73,3.15,5.97,1.87,3.28,4.35,2.62,3.01,3.88,4.3,2.39,1.23,2.49,3.37,4.5,3.59,2.47,6.02,5.6,2.67,,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.72,0.84,2.99,1.99,0.31,2.59,0.64,1.82,0.97,1.69,0.14,2.68,1.65,1.58,1.97,3.61,3.26,1.23,3.16,1.26,2.25,1.51,3.4,1.15,0.82,,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,3.26,1.89,0.84,3.46,2.45,2.19,0.84,2.3,0.52,4.29,1.78,1.49,0.99,-999,0.73,0.94,2.18,2.87,0.9,0.79,2.67,3.34,2.75,2.12,1.49,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,1.93,4.01,0.59,2.07,1.98,0.97,2.81,0.51,2.71,1.12,6.96,1.35,1.4,-999,1.9,0.53,3.51,2.53,2.04,3.51,1.39,2.13,1.29,2.36,1.37,,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,2.01,2.06,3.71,1.15,1.51,2.61,2.69,1.59,2.73,3.54,3.5,1.85,0.45,-999,4.39,1.89,2.93,6.52,1.92,0.52,2.82,1.31,0.79,1.77,2.1,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,4.19,1.23,3.38,2.63,3.51,4.3,2.45,4.19,1.87,2.29,1.19,2.17,1.34,-999,1.26,2.79,3.1,1.11,0.68,3.65,4.18,3.83,0.47,0.93,0.87,,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,3.61,1.32,2.01,2.56,2.07,2.91,3.83,2.04,4.98,7.29,3.96,1.62,2.69,-999,2.68,3.03,2.77,2.72,1.08,3.08,3.22,2.2,2.52,1.27,2.04,,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,2.13,1.23,1.44,2.11,2.1,1.97,2.56,2.89,1.69,0.51,5.05,3.33,3.03,-999,0.84,3.86,1.7,3.55,2.88,0.5,5.02,2.36,3.6,4.85,1.52,,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,4.92,2.61,3.28,4,2.8,2.55,2.62,3.24,3.07,4.07,1.45,1.42,2.85,-999,4.19,1.05,5.36,4.12,4.53,5.24,1.87,1.85,2.43,1.91,4.4,,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
