"NORTH TAMERTON OGBEARE HALL",,,,,,,,,,,,
Grid ref,SX303959,Long,-4.406335,Lat,50.737853,,,,,,,
Station no,RR2058,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,5.80,,,,,
February,,,,,,,4.74,,,,,
March,,,,,,,2.07,,,,,
April,,,,,,,2.18,,,,,
May,,,,,,,2.71,,,,,
June,,,,,,,1.76,,,,,
July,,,,,,,1.37,,,,,
August,,,,,,,2.43,,,,,
September,,,,,,,1.09,,,,,
October,,,,,,,4.77,,,,,
November,,,,,,,4.18,,,,,
December,,,,,,,4.31,,,,,
Total,,,,,,,37.41,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,37.41,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,NaN,NaN,NaN,,
