NEWTOWNARDS MODEL SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,NW6054228134,Long,-5.7080761,Lat,54.591495,Elevation,10,ft,,,,,,,,,,,,
Station no,RR2774,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,4.16,1.34,6.97,3.64,2.12,0.85,0.66,1.6,3.07,5.14,1.69,3.53,,,
February,,,,,,0.96,3.55,2.26,2.33,2.64,2.24,4.11,1.57,4.23,3.01,3.22,1.39,,,
March,,,,,,1.02,2.47,2.18,1.1,2.25,1.88,3.79,2.16,1.27,2.12,2.11,2.52,,,
April,,,,,,0.39,1.56,3.22,1.78,1.97,3.56,1.59,3.3,1.54,1,2.53,1.05,,,
May,,,,,,1.84,0.44,2.67,4.2,3.8,0.97,2.31,1.57,1.9,2.33,1.65,5.29,,,
June,,,,,,3.32,2.69,1.63,2.25,6.32,1.41,3.71,3.14,1.18,1.25,0.5,1.14,,,
July,,,,,,2.55,1.69,3.59,1.13,5.89,7.28,3.07,4.17,1.66,4.22,1.75,3.5,,,
August,,,,,,1.9,3.08,2.74,2.39,4.22,0.71,4.01,2.89,5.95,2.53,2.66,2.15,,,
September,,,,,,4.28,4.28,1.66,2.8,3.86,3.07,2.31,3.32,3.73,2.13,3.77,1.7,,,
October,,,,,,5.19,5.03,3.63,3.42,1.1,1.77,3.86,3.26,2.82,1.77,2.4,4.45,,,
November,,,,,,4.37,6.06,4.27,2.01,1.09,2.73,3.17,4.54,2.9,2.81,0.63,2.86,,,
December,,,,,,2.16,7.58,2.66,2.17,1.2,2.4,3.2,3.76,1.54,2.73,0.68,3.71,,,
Total,,,,,,32.14,39.77,37.48,29.22,36.46,28.87,35.79,35.28,31.79,31.04,23.59,33.29,,,
,,,,,,,,,,,,,,,,,,,,
Model Primary School opened 1862 and still going strong. Non sectarian throughout.,,,,,,,,,,,,,,,,,,,,
