WITNEY-GRAMMAR-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP357093,Long,-1.4839098,Lat,51.781231,Elevation,275,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1036/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.52,3.34,3.16,2.84,4,1.71,1.59,2.06,1.43,6.81,1.23,0.55,3.46,,0.85,,,,,,,
February,,,,,,,,,1.11,1.91,2.59,0.95,0.78,1.22,2.05,2.34,1.51,0.96,1.05,4.1,4.27,,1.42,,,,,,,
March,,,,,,,,,1.76,2.02,4.68,2.23,0.96,0.17,0.96,0.77,6.7,1.05,1.77,1,3.77,,0.93,,,,,,,
April,,,,,,,,,3.96,1.66,1.17,0.84,1.07,1.42,1.22,1.71,2.25,2.17,1.12,1.96,2.92,,1.93,,,,,,,
May,,,,,,,,,0.99,1.9,1.56,3.41,2.52,0.81,2.42,3.32,1.76,5.06,1.89,2.71,2.44,,1.8,,,,,,,
June,,,,,,,,,2.08,0.51,2.82,0.15,1.62,2.08,2.49,2.02,1.13,2.01,0.29,1.76,0.79,,1.8,,,,,,,
July,,,,,,,,,4.31,2.62,3.36,1.92,0.83,2.65,1.6,0.97,2.71,0.75,0.56,4.03,1.22,,3,,,,,,,
August,,,,,,,,,1.91,0.07,4.51,4.19,2.39,1.5,2.46,5.05,0.61,4.35,1.01,3.04,5.4,,3.54,,,,,,,
September,,,,,,,,,0.89,1.31,0.56,1.03,1.4,2.64,1.65,3.97,1.31,2.12,2.48,4.12,2.47,,2.03,,,,,,,
October,,,,,,,,,4.6,3.02,1.42,3.92,2.47,3.65,2.73,0.84,0.48,2.72,6.08,0.6,0.82,,2.95,,,,,,,
November,,,,,,,,,4.51,7.3,2.57,1.44,1.67,3.95,0.32,5.12,1.69,1.61,2.58,4.87,7.01,,1.26,,,,,,,
December,,,,,,,,,1.74,1.33,1.57,3.35,0.95,1.48,3.64,2.64,1.93,3.39,1.25,1.51,1.97,,0.74,,,,,,,
Total,,,,,,,,,32.38,26.99,29.97,26.27,20.66,23.28,23.13,30.81,23.51,33,21.31,30.25,36.54,,22.25,,,,,,,
