DERWENTHAUGH (COKE WORKS),,,,,,,,,,,,
Grid ref,NZ192615,Long,-1.701781,Lat,54.947789,,,,,,,
Station no,3555/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.29,1.63,0.78,2.33,1.51,2.43,1.21,1.86,1.83,4.63,,
February,2.65,0.51,1.38,2.02,0.74,1.29,2.23,4.02,0.65,1.92,,
March,3.78,1.20,0.11,1.03,1.77,0.76,1.26,2.20,0.64,2.30,,
April,1.83,0.99,2.10,0.50,0.62,0.85,0.56,1.87,1.93,1.18,,
May,3.53,1.45,2.38,3.75,1.76,0.28,1.56,3.29,0.43,2.55,,
June,1.68,1.73,1.72,1.83,2.42,2.91,1.69,2.79,2.55,0.21,,
July,1.71,0.84,2.16,1.81,1.34,2.09,3.48,2.93,1.33,4.10,,
August,4.50,2.08,5.49,5.01,0.86,6.20,3.45,2.05,0.72,3.10,,
September,1.07,3.01,1.43,2.59,0.93,1.81,3.50,1.92,0.85,2.02,,
October,0.69,3.03,1.22,3.99,1.43,1.67,1.48,1.10,1.36,6.16,,
November,4.93,3.60,0.85,3.41,1.62,0.32,1.50,0.55,4.43,2.65,,
December,1.97,3.70,0.74,2.20,2.66,1.07,2.15,3.95,3.92,2.06,,
Total,29.63,23.77,20.36,30.47,17.66,21.68,24.07,28.53,20.64,32.88,,
Calc annual,29.63,23.77,20.36,30.47,17.66,21.68,24.07,28.53,20.64,32.88,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
