CHALE-BLACKGANG-(HM-COASTGUARD),,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ488767,Long,-1.31126,Lat,50.58835,Elevation,420,ft,,,,,,,,,,,,,
Station no,591,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,1.98,5.74,1.73,4.35,2.62,2.8,2.24,2.32,1.26,5.96,6.43,3.32,,
February,,,,,,,,3.95,2.08,1.24,1.05,1.93,0.07,3.81,0.09,3.56,3.13,5.4,0.79,,
March,,,,,,,,2.68,2.83,0.24,,1.19,1.32,2.57,2.68,1.09,2.18,4.02,0.4,,
April,,,,,,,,1.47,2.09,1.17,2.85,2.81,2.34,1.66,2.37,3.54,1.5,2.47,,,
May,,,,,,,,0.7,2.32,2.42,1.74,4.07,3.97,2.19,1.17,0.83,0.38,1.43,,,
June,,,,,,,,2.14,2.27,1.29,0.67,1.75,2.05,1.38,1.12,1.91,3.7,0.74,,,
July,,,,,,,,2.87,3.18,1.64,2.34,2.54,2.43,1.12,0.54,0.11,4.07,1.86,,,
August,,,,,,,,3.5,2.88,2.01,2.6,2.99,1.19,1.05,1.79,3.79,0.34,1.18,,,
September,,,,,,,0.72,6.62,1.45,0.37,2.39,1.9,3.07,3.31,2.51,4.05,2.93,2.6,,,
October,,,,,,,3.69,2.15,9.4,5.23,3.03,0.67,6.73,2.06,1.88,3.6,1.48,2.72,,,
November,,,,,,,8.43,4.58,3.68,6.76,5.37,4.5,2.39,1.17,4,9.48,4.56,2.68,,,
December,,,,,,,0.48,3.65,3.02,5,3.43,0.76,1.04,1.01,9,3.91,2.35,5.63,,,
Total,,,,,,,,36.29,40.94,29.1,,27.73,29.4,23.57,29.47,37.13,32.58,37.16,,,
,,,,,,,,,,,,,,,,,,,,,
Gauge moved from Blackgang Cottage,,,,,,,,,,,,,,,,,,,,,
There are 2 identical sheets for 1920 but one includes scan of location map,,,,,,,,,,,,,,,,,,,,,
1930 Mar Marked as estimated,,,,,,,,,,,,,,,,,,,,,
1938 Gauge moved to Cowes Place Road Stn No 610/2 Only 8 months of readings,,,,,,,,,,,,,,,,,,,,,
