LANGHOLM ARKLETON GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY381914,Long,-2.973577,Lat,55.213399,Elevation,445,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5039/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,6.6,8.96,4.6,,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,1.07,5.08,5.33,,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,5.33,3.97,2.04,5.14,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,8.78,3.66,4.8,5.29,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.78,3.37,2.11,2.88,1.82,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,5.6,3.46,7.07,1.1,3.86,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,5.32,4.76,3.5,2.3,6.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,5.7,0.03,8.86,3.21,7.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,7.83,4.09,7.07,1.28,10.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,0.66,1.43,5.64,8.03,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,9.52,6.84,4.64,6.99,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,5.84,2.58,6.4,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,48.34,66.96,52.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is quoted on 1950s record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 1949 reading omitted because it was bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
