HORBURY ADDINGFORD HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE293177,Long,-1.5581547,Lat,53.65498,Elevation,169,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,2.58,1.51,2.87,0.93,,,,2.76,2.83,2.83,1.01,1.32,2.47,2.66,1.87,4.05,1.1,3.88,1.82,1.65,1.64,1.43,1.22,3.23,3.66,2.5,5.26,2.7,4.2,2.29,3.44,3.23,2.86,2.58,2.87,,,
February,,,,0.54,1.34,2.71,4.16,,,,2.15,0.16,2.26,3.79,0.81,4.78,1.64,1.37,2.84,0.29,0.72,2.9,0.21,5.34,0.29,2.24,2.7,4.81,0.78,1.36,2.38,3.22,1.26,1.17,1.41,2.38,4.44,3.58,,,
March,,,,2.97,2.08,1.02,4.03,,,,1.44,0.87,1.54,1.53,0.73,1.35,0.76,2.15,2.02,0.2,2.76,0.41,1.43,1.82,1.97,0.83,1.82,2.5,0.39,1.87,2.18,3.79,1.94,0.74,0.3,0.72,1.88,5.89,,,
April,,,,2.62,0.7,0.87,1.05,,,,3.15,0.85,2.94,1.68,1.41,2.79,1.13,2.27,1.19,0.98,1.86,3.65,2.64,1.3,2.64,2.74,1.08,2.98,0.06,1.23,2.32,1.8,1.21,1.71,1.75,2.15,1.97,3.09,,,
May,,,,1.76,1.13,1.86,2.35,,,,3.4,1.05,1.1,2.6,3.81,2.95,2.81,1.8,2.57,1.37,1.33,2.37,4.98,1.94,0.93,0.36,1.26,2.98,2.78,1.46,0.46,1.57,2.56,2.35,2.14,4.87,2.14,,,,
June,,,,0.56,2.27,1.4,1.4,,,,2.17,0.19,1.35,0.53,1.85,0.08,2.96,2.45,3.14,1.26,1.02,4.83,0.33,1.04,1.77,2.24,3.78,1.05,1.72,1.73,0.43,0.21,1.22,1.53,1.43,3.2,2.87,,,,
July,,,,0.98,2.79,3.92,1.53,,,,4.99,0.55,3.32,3.69,2.24,1.11,2.83,3.7,0.76,2.19,3.58,2.86,2.61,2.33,1.74,0.82,3.24,2.76,4.29,6,2.49,2.81,1.64,1.35,2.52,2.18,3.48,,,,
August,,,,1.14,1.74,3.87,1.53,,,,1.21,4.3,5.7,3.05,2.55,2.42,3.05,5.22,3.45,2.29,4.08,4.37,1.3,0.55,0.97,2.99,1.7,0.69,3.7,1.15,0.56,2.62,2.86,2.45,3.54,3.29,4.45,,,,
September,,,,2.18,1.18,0.57,1.72,,,,1.33,0.73,4.19,1.74,2.24,2.86,1.29,4.09,0.53,0.7,3.95,3.52,1.28,1.59,2.05,3.65,2.73,1.19,2.43,1.23,1.88,0.5,1.27,3.11,4.57,1.24,5.2,,,,
October,,,,3.4,2.03,1.24,3.32,,,,1.98,1.34,0.67,1.74,4.12,3.31,3.07,1.97,4.29,2,3.09,1.09,2.99,3.65,1.71,5.1,2.58,2.56,4.1,2.44,3.37,2.74,2.26,1.93,2.5,4.54,1.49,,,,
November,,,,1.6,2.59,2.15,3.12,,,,0.72,1.79,1.31,2.88,1.39,1.67,4.46,3.28,3.37,4.65,2.95,3.78,1.14,1.87,1.98,4.47,3.7,1.88,3.27,3.93,4.71,3.1,1.39,2.25,5.15,0.44,5.67,,,,
December,,,,1.25,4.71,5.55,1.94,,,,2.48,3.27,3.24,1.8,2.49,2.68,0.81,1.76,1.36,5.32,2.18,1.04,0.68,0.34,4.08,2.41,1.53,1.78,3.29,1.71,1.51,0.57,1.37,1.51,2.71,1.76,2.81,,,,
Total,,,,21.58,24.07,28.03,27.08,,,,27.78,17.93,30.45,26.04,24.96,28.47,27.47,31.93,29.57,22.35,31.4,32.64,21.24,23.41,21.56,29.07,29.35,28.84,29.31,29.37,24.99,27.13,21.27,23.54,31.25,29.63,38.98,,,,
