"RIVINGTON, GREAT HILL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD646190,Long,-2.537236,Lat,53.666273,Elevation,1240,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,,,,,,,,,,,5.81,2.48,4.98,3.56,4.09,2.34,6.9,2.61,4.02,2.84,5.87,1.98,4.29,7.39,,5.94,3.92,2.43,2.97,4.65,4.53,7.42,3.33,5.01,3.66,3.1,4.53,4.36,10.54,1.85,7.19,6.21,3.8,3.21,3.83,3.47,6.11,3.47,4.79,6.57,2.85,2.87,4.92,7.28,6.85,5.4,5.58,5.48,10.58,3.75,4.53,6.07,6.02,2.43,5.07,3.17,6.47,3.86,4.92,3.6,6.37
February,,,,,,,,,,,,,,,,,,,,,3.04,1.62,1.65,4.09,2.97,2.18,3.89,1.98,6.44,2.08,4.39,4.69,2.37,2.74,2.64,5.25,3.46,1.55,5.44,1.18,3.63,0.42,5.28,5.8,1.22,6.06,4.75,2.24,4.81,1.35,0.5,5.38,0.2,5.28,0.43,6.44,3.33,5.54,1.68,4.42,3.49,5.99,2.4,3.18,2.78,5.7,6.4,2.85,2.6,3.23,6.08,5.12,2.13,1.93,3.63,2.81,1.02,3.76,9.36,1.13,4.18
March,,,,,,,,,,,,,,,,,,,,,0.49,3.13,3.04,4.36,2.28,3.66,3.98,3.93,3.33,2.87,1.19,2.31,6.8,7.85,5.11,2.24,1.65,2.47,1.98,4.44,3.99,3.66,2.74,1.98,1.65,2.27,1.82,5.3,3,2.02,4.09,1.52,3.33,4.06,3.83,1.65,5.08,2.51,2.05,2.08,2.9,4.19,3.97,1.47,1.2,1.98,1.32,8.93,2.13,3.08,2.68,5.87,2.78,2.5,3.57,2.62,2.15,3.96,2.43,2.68,2.42
April,,,,,,,,,,,,,,,,,,,,,2.64,3.14,2.74,2.11,3,3.27,2.41,2.51,3.3,5.12,4.62,4.02,0.96,5.31,1.52,2.6,4.22,2.08,1.38,3.12,6,2.35,2.7,3.89,2.08,2.79,1.96,3.66,1.38,1.45,2.81,4.06,3.57,2.08,3,3.83,1.16,3.93,0.73,3.3,3.2,2.75,2.3,3.73,2.62,2.94,1.82,3.77,2.28,4.38,3.48,3.23,3.72,3.87,1.28,3.23,3.15,0.72,1.93,3.42,2.58
May,,,,,,,,,,,,,,,,,,,,,2.08,1.22,3.93,4.04,2.11,1.22,4.52,4.58,4.42,3.13,5.18,3.93,3.13,4.29,2.37,1.68,3.69,1.81,2.64,1.7,8.44,3.16,2.3,4.39,6.24,4.9,3.53,1.68,1.52,3.4,2.24,2.58,5.35,2.34,4.22,1.02,1.58,2.67,4.55,1.72,1.06,2.95,3.85,3.82,4.79,3.88,1.93,3.57,2.57,4.18,2.07,3.02,2.68,2.78,3.22,4.31,1.92,2.42,4.92,1.63,2.58
June,,,,,,,,,,,,,,,,,,,,,2.51,2.57,2.24,1.88,2.66,2.51,2.97,10.59,2.38,4.69,4.22,4.62,6.6,3.48,2.11,2.18,3.86,2.86,2.93,2.8,3.03,0.89,4.52,1.86,3.99,0.16,3,4.97,6.73,2.31,3.96,7.79,0.92,3.07,2.48,3.1,4.88,2.34,5.28,3.8,1.06,0.63,1.05,4.65,4.27,5.08,3.93,3.38,5.92,1.83,3.63,1.63,4.48,3.08,4.88,4.07,3.42,2.73,5.03,2.73,1.73
July,,,,,,,,,,,,,,,,,,,,,3.27,2.14,3.07,5.15,1.75,3.7,3,4.22,8.91,7.46,7.26,0.36,,2.21,5.94,4.93,3.03,2.6,4.03,2.09,6.99,2.24,5.97,5.84,5.84,3.36,4.25,4.52,3.27,4.82,7.99,4.95,5.97,3.27,2.51,2.48,5.45,2.67,5.78,7.72,6.4,3.22,7.02,4.18,5.7,3.3,4.87,4.18,3.42,3.36,4.92,3.92,3.57,5.47,8.47,1.5,6.06,8.06,4.18,5.93,8.28
August,,,,,,,,,,,,,,,,,,,,,6.24,3.27,3.7,7.1,5.25,4.59,4.52,6.27,6.5,5.64,7.38,4.85,,2.9,,5.81,3.5,8.54,5.57,4.62,2.9,8.11,5.5,7,9.57,4.27,4.36,6.46,8.65,6.77,9.93,5.84,1.52,4.03,7.12,1.88,4.29,2.54,3.66,3.07,3.8,7.9,5.91,8.63,4.15,3.4,9.77,0.25,6.13,3.02,9.46,5.22,5.58,5.26,7.91,1.48,13.07,7.32,5.58,0.78,5.63
September,,,,,,,,,,,,,,,,,,,,,3.66,1.22,2.6,5.71,1.48,3.56,2.15,1.39,8.02,3.5,0.86,4.82,,2.07,4.46,1.15,3.23,3.16,12.93,2.83,4.09,2.24,5.9,6.02,5.44,5.19,5.34,7.62,1.75,2.71,3.86,5.12,6.8,1.06,4.3,8.45,4.72,2.15,3.1,1.78,5.18,1.65,4.05,6.2,7.79,2.57,9.18,5.17,3.78,2.73,9.02,3.72,5.77,5.46,5.72,5.03,5.05,8.66,6,0.63,3.83
October,,,,,,,,,,,,,,,,,,,,,7.79,4.78,7.33,9.7,3.93,5.35,8.12,4.36,2.34,7.29,5.12,4.75,,2.34,2.97,2.49,8.81,8.64,5.21,3.6,1.6,3.76,0.96,7.5,6.13,5.89,3.39,5.02,6,8.42,6.97,3.37,8.61,5.05,6.96,9.2,5.18,2.41,9.21,2.67,5,5.68,10.14,5.33,6.55,6.87,1.53,1.18,3.82,5.33,4.13,1.03,5.31,2.57,8.66,3.07,3.21,7.16,5.02,5.08,4.23
November,,,,,,,,,,,,,,,,,,,,,4.95,6.34,3.47,4.36,3.7,6.3,4.16,4.72,4.03,2.18,6.11,6.04,,5.94,5.73,1.45,3.17,6,2.71,3.33,2.44,3.5,4.12,5.71,3.26,4.21,6.9,5.81,7.45,8.75,8.48,8.52,3.8,3.04,2.77,5.38,8.05,2.41,6.11,8.58,7.7,3.06,1.42,4.55,7.65,0.78,7.07,6.08,2.58,6.38,7.43,9.77,3.58,7.06,8.37,3.58,1.98,2.74,2.38,6.27,8.2
December,,,,,,,,,,,,,,,,,,,,,5.61,4.03,4.55,2.81,3.66,1.39,6.05,5.71,2.71,7.26,5.51,8.42,,3.46,5.64,7.92,3.36,2.77,9.76,7.62,2.64,6.93,4.71,5.4,7.18,2.63,2.38,1.59,3.17,12.77,4.46,2.97,2.07,0.69,7.46,4.98,4.92,4.03,6.17,3.04,5,3.45,5.08,3.4,6.6,3.88,5.37,4.48,5.18,6.62,4.5,9.76,4.47,2.72,6.46,6.76,5.67,5.86,5.07,9.07,4.75
Total,,,57.89,49.62,39.72,43.22,50.68,32.34,44.07,46.28,51.58,54.55,47.13,45.51,50.62,,49.14,47.42,43.63,41.16,48.09,35.94,43.3,54.87,36.88,40.07,52.67,52.87,56.4,54.06,57.71,50.79,,,,43.64,45.9,44.91,57.55,41.98,50.28,44.68,48.03,60.4,56.26,44.83,46.21,53.23,58.27,56.62,62.48,58.31,45.94,37.18,48.91,51.88,54.75,36.67,53.11,48.75,47.64,44.34,52.11,56.42,60.95,45.78,58.77,49.32,50.99,47.89,61.93,58.36,50.09,45.13,67.24,41.63,53.17,57.25,56.82,42.95,54.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
