CHAGFORD-CROWNHALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SX653848,Long,-3.90568,Lat,50.64795,Elevation,1320,ft,,,,,,,,,,,,
Station no,1748/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,6.85,10.42,2.76,11.18,17.44,11.72,13.5,4.36,8.62,9.54,15.81,6.54,6.01,13.5,7.41,18.63,3.65,4.01
February,,,6.56,0.37,10.87,7.62,15.41,3.44,5.16,8.25,10.8,1.01,6.13,1.67,10.64,9.31,3.17,5.4,4.67,17.1
March,,5,8.1,5.03,2.1,6.3,9.59,0.72,2.91,6.49,8.51,6.22,2.35,0.54,3.91,5.32,16.21,6.17,3.29,5.16
April,,6.12,2.09,5.97,9.71,4.71,7.21,0.48,5.51,5.36,1.72,4.44,2.01,4.47,2.31,4.01,8.84,4.57,3.49,6.01
May,,4.75,4.81,3.9,3.32,1.25,3.65,5.01,1.5,2.69,4.27,11.71,6.94,1.36,6,8.19,4.32,3.71,5.61,4.99
June,,5,2.63,2.64,7.09,3.44,1.84,3.72,4.58,0.88,2.54,0.75,2.9,5.76,7.2,5.61,5.09,5.37,0.84,2.5
July,,5.25,4.6,0.73,1.11,13.51,2.69,6.35,11.61,6.03,2.5,4.38,4.68,5.58,5.8,3.31,4.15,3.14,3.01,6.82
August,,2.42,4.56,5.64,3.34,0.74,1.2,7.22,3.92,0.3,7.9,4.98,5.5,6.51,2.99,8.43,1.21,6.15,3.64,8.9
September,,8.55,2.2,5.19,8.49,4.41,3.32,2.48,0.8,3.61,0.71,4.02,6.12,6.91,5.66,11.79,3.41,5.91,7.18,9.02
October,,13.61,8.41,7.5,9.08,3.3,4.92,9.28,8.38,9.42,2.74,4.52,7.1,11.61,9.01,5.15,2.29,8.44,14.01,2.6
November,,4.69,2.15,3.29,11.22,9.34,4.38,13.89,18.81,17.31,6.76,2.3,6.2,18.52,1.89,18.85,7.35,4.76,9.87,14.89
December,,5.73,3.07,23.12,10.38,14.12,6.4,10.02,6.82,4.89,7.9,10.61,5.59,9.11,12.9,10.36,7.68,16.41,7.1,6.75
Total,,,56.03,73.8,79.47,79.92,78.05,74.33,83.5,69.59,64.97,64.48,71.33,78.58,74.32,103.83,71.13,88.66,66.36,88.75
,,,,,,,,,,,,,,,,,,,,
Gauge read monthly,,,,,,,,,,,,,,,,,,,,
1932 Jan Feb computed,,,,,,,,,,,,,,,,,,,,
1950 Dec Station terminated,,,,,,,,,,,,,,,,,,,,
