HERTFORD-LETTY-GREEN,,,,,,,,,,
Grid ref,TL288110,Long,-0.134233,Lat,51.782847,Elevation,230,ft,,
Station no,949/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.48,2.17
February,,,,,,,,,0.08,1.86
March,,,,,,,,,2.06,1.38
April,,,,,,,,,2.55,0.53
May,,,,,,,,,0.74,1.49
June,,,,,,,,5.08,0.89,1.41
July,,,,,,,,2.17,3.28,2.97
August,,,,,,,,2.37,2.1,2.01
September,,,,,,,,2.94,0.07,4.45
October,,,,,,,,2.53,2.07,5.45
November,,,,,,,,1.98,2.26,3.55
December,,,,,,,,2.64,4.3,2.9
Total,,,,,,,,,22.88,30.17
