"BUDLEIGH SALTERTON SYON HOUSE",,,,,,,,,,,,
Grid ref,SY071845,Long,-3.315496,Lat,50.652747,,,,,,,
Station no,RR4638,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.66,2.64,1.03,2.94,3.64,,5.79,,,,,
February,3.91,1.08,1.59,1.45,5.90,,3.49,,,,,
March,0.97,3.68,2.00,3.18,1.67,,1.17,,,,,
April,1.53,3.31,1.27,2.12,1.05,,1.20,,,,,
May,1.44,1.09,1.64,3.43,2.91,,2.64,,,,,
June,2.43,1.68,2.81,2.02,0.91,,1.95,,,,,
July,0.57,2.71,2.06,2.86,4.69,,0.46,,,,,
August,1.51,1.26,2.70,3.09,2.51,,0.92,,,,,
September,0.74,3.78,2.48,3.90,1.90,,1.00,,,,,
October,1.67,1.67,2.53,6.29,1.58,,4.40,,,,,
November,3.52,0.53,3.69,1.63,1.72,,2.56,,,,,
December,4.72,5.78,1.88,3.17,2.65,,1.47,,,,,
Total,27.67,29.21,25.68,36.08,31.13,,27.05,,,,,
Calc annual,27.67,29.21,25.68,36.08,31.13,0.00,27.05,0.00,0.00,0.00,,
Difference,0.00,-0.00,-0.00,0.00,0.00,NaN,0.00,NaN,NaN,NaN,,
