SWAFFHAM PICKENHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF857040,Long,0.74069821,Lat,52.602044,Elevation,104,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,3.89,1.98,1.75,1.13,0.71,2.63,2.2,1.41,2.48,1.69,2.61,2.02,1.12,0.16,1.07,1.7,1.84,1.57,2.68,2.33,1.78,1.13,0.8,2.35,2.25,1.17,1.81,2.14,3.39,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,1.45,1.33,2.6,1.21,2.16,1.4,1.84,0.91,1.33,3.48,2.88,1.33,2.44,1.77,3.37,1.54,2.98,0.56,1.98,0.42,0.61,2.16,1.7,0.77,0.1,2.69,2.82,1.48,0.39,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1,2.16,2.34,1.33,1.13,2.29,1.88,1.21,0.57,2.6,2.06,0.77,0.88,0.8,1.99,1.63,1.49,1.27,1.48,1.68,2.13,2.5,1.05,2.97,2.19,1.09,0.25,1.06,2.18,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,2.64,1.67,1.26,0.88,3.58,2.53,1.27,1.12,0.88,3.04,2.18,1.15,2,2.21,1.01,2.89,0.93,1.12,1.77,1.55,1.18,1.38,2.17,0.79,1.39,1.33,0.08,3.01,2.08,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,3.24,0.32,2.3,0.66,1.09,2.25,2.28,0.81,1.79,0.88,1.36,4.23,2.64,0.5,1.03,1.43,1.01,0.9,3.13,2.28,1.9,1.01,2.94,2.23,3.45,1.76,1.2,2.43,1.15,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,1.21,1.27,1.66,0.99,2.3,4.72,1.54,1.96,1.54,2.05,1.29,1.46,4.23,5.22,1.75,3.59,3.81,1.15,1.23,0.73,0.14,1.3,1.99,4.07,0.74,3.85,1.68,2.95,2.11,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,4.14,0.6,0.65,3.4,2.68,5.89,1.95,1.07,5.96,2.28,3.57,1.66,4.82,4.7,2.64,1.87,3.7,1.83,0.63,5.35,0.93,4.85,3.16,4.11,3.65,4.5,4.61,3.91,4.26,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,1.61,1.77,1.83,1.63,0.59,4.21,1.9,2.06,1.62,1.9,3.39,4.54,4.05,2.14,4.74,2.27,1.05,2.36,1.76,2.21,3.32,3,4.32,2.53,5.15,3.11,2.04,3.24,3.04,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,1.87,2.11,2.84,1.49,4.04,3.13,3.02,2.81,2.41,4.17,3.05,1.31,3.38,3.9,2.94,3.27,5.24,2.51,4.67,1.73,2.39,1.14,3.11,0.53,1.51,2.18,0.86,2.25,0.71,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,2.46,2.96,2.48,3.48,1.49,2.84,2.42,1.66,3,0.88,1.59,2.94,0.99,4.53,2.39,5.49,3.43,2.66,5.09,3.23,3.33,1.16,3.58,1.91,4.31,7.04,2.5,2.91,2.52,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
