NORTHWICH-MARBURY-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ649764,Long,-2.5279196,Lat,53.283402,Elevation,96,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2779/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.69,2.43,2.24,3.07,4.31,4.07,2.68,2.98,1.85,6.31,2.62,1.01,2.13,3.33,1.06,2.5,2.35,4.39,1.49,2.59,3.46,5.34
February,,,,,,,,,2.13,1.24,3.04,2.06,1.61,1.48,2.5,5,0.82,1.77,1.41,4.39,2.19,1.38,1.14,2.34,2.66,0.39,2.84,4.55,0.29,2.36
March,,,,,,,,,1.57,2.39,2.76,1.72,1.11,0.66,0.84,0.66,5.12,0.78,2.35,1.2,4.68,1.65,1.71,2.21,1.89,1.18,2.63,1.49,1.11,1.25
April,,,,,,,,,1.47,2.47,1.09,1.61,1.42,1.91,1.55,1.27,2.47,1.47,2.55,2.67,2.25,2.47,2.76,0.75,1.78,2.96,0.58,0.91,3.08,1.52
May,,,,,,,,,1.69,1.25,2.13,3.2,2.23,2.47,3.62,1.44,2.19,1.16,3.07,1.1,2.85,2.02,1.98,2.39,2.06,1.26,1.37,,4.55,1.96
June,,,,,,,,,2.52,1.42,1.05,0.31,3.2,2.16,3.2,3.15,2.17,3.65,0.71,1.63,1.09,2.96,1.67,3.58,3.55,2.54,1.5,2.69,2.16,2.32
July,,,,,,,,,6.05,4.21,1.91,3.18,2.74,2.99,1.44,2.74,1.82,1.88,1.78,2.75,2.65,2.31,3.26,3.94,0.45,6.06,4.58,3.9,2.8,4.24
August,,,,,,,,,1.58,0.78,4.37,2.4,4.56,2.46,3.25,3.71,0.34,4.47,2.48,3.27,3.09,1.64,3.05,3.79,0.69,9.59,2.98,2.63,0.35,5.38
September,,,,,,,,,0.77,3.58,0.99,2.49,4.68,4.04,1.46,3.59,1.6,1.54,0.75,3.6,1.55,2.46,2.43,3.6,1.54,2.53,6.11,4.24,0.17,3.66
October,,,,,,,,,1.57,3.52,4,3.54,3.34,4.1,5.14,1.98,0.5,1.52,1.91,1.6,0.81,3.6,1.48,4.7,1.6,2.8,2.9,1.37,2.86,3.52
November,,,,,,,,,4.31,6.22,2.36,0.54,2.41,4.8,0.53,4.54,2.6,1.61,4.32,4.27,7.03,2.32,2.15,5.1,1.38,1.13,1.72,1.61,3.46,4.98
December,,,,,,,,,1.57,3.01,1.34,3.33,1.52,2.13,2.39,3.52,2.26,2.72,3.74,3.18,4.29,2.93,1.16,4.53,3.23,2.5,2.9,3.52,4.91,3.07
Total,,,,,,,,,29.92,32.52,27.28,27.45,33.13,33.27,28.6,34.58,23.74,28.88,27.69,30.67,34.61,29.07,23.85,39.43,23.18,37.33,31.6,,29.2,39.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from the 1950s record and is Marbury Hall, which is off Marbury Road.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cannot connect the observers, Alan and Charles Cooper, to the hall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
