NORTHWICH (MARBURY ROAD),,,,,,,,,,,,
Grid ref,SJ649764,Long,-2.527920,Lat,53.283402,,,,,,,
Station no,2779/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.13,3.33,1.06,2.50,2.35,4.39,1.49,2.59,3.46,5.34,,
February,2.19,1.38,1.14,2.34,2.66,0.39,2.84,4.55,0.29,2.36,,
March,4.68,1.65,1.71,2.21,1.89,1.18,2.63,1.49,1.11,1.25,,
April,2.25,2.47,2.76,0.75,1.78,2.96,0.58,0.91,3.08,1.52,,
May,2.85,2.02,1.98,2.39,2.06,1.26,1.37,2.11,4.55,1.96,,
June,1.09,2.96,1.67,3.58,3.55,2.54,1.50,2.69,2.16,2.32,,
July,2.65,2.31,3.26,3.94,0.45,6.06,4.58,3.90,2.80,4.24,,
August,3.09,1.64,3.05,3.79,0.69,9.59,2.98,2.63,0.35,5.38,,
September,1.55,2.46,2.43,3.60,1.54,2.53,6.11,4.24,0.17,3.66,,
October,0.81,3.60,1.48,4.70,1.60,2.80,2.90,1.37,2.86,3.52,,
November,7.03,2.32,2.15,5.10,1.38,1.13,1.72,1.61,3.46,4.98,,
December,4.29,2.93,1.16,4.53,3.23,2.50,2.90,3.52,4.91,3.07,,
Total,34.61,29.07,23.85,39.43,23.18,37.33,31.60,31.61,29.20,39.60,,
Calc annual,34.61,29.07,23.85,39.43,23.18,37.33,31.60,31.61,29.20,39.60,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
